Analysis Date,Symbol,Pattern,Intraday Probability %,Final Bias,Entry Price,Stop Loss,Target,Actual Close,Outcome,Points,Accuracy
2026-07-23,NESTLEIND,Fresh Long Buildup,80,BUY,1492.9,1463.042,1552.6160000000002,,PENDING,,0
2026-07-23,NTPC,Fresh Long Buildup,80,BUY,350.0,343.0,364.0,,PENDING,,0
2026-07-23,ASTRAL,Fresh Long Buildup,75,BUY,1408.7,1380.526,1465.048,,PENDING,,0
2026-07-23,PIDILITIND,Fresh Long Buildup,75,BUY,1590.0,1558.2,1653.6,,PENDING,,0
2026-07-23,TVSMOTOR,Fresh Long Buildup,75,BUY,3909.2,3831.016,4065.568,,PENDING,,0
2026-07-23,DIVISLAB,Fresh Long Buildup,75,BUY,7351.0,7203.98,7645.04,,PENDING,,0
2026-07-23,GODREJCP,Fresh Long Buildup,75,BUY,1065.8,1044.484,1108.432,,PENDING,,0
2026-07-23,INDUSINDBK,Fresh Long Buildup,75,BUY,1067.05,1045.7089999999998,1109.732,,PENDING,,0
2026-07-23,BAJAJ-AUTO,Fresh Long Buildup,75,BUY,10982.0,10762.36,11421.28,,PENDING,,0
2026-07-23,HINDUNILVR,Fresh Long Buildup,75,BUY,2158.6,2115.428,2244.944,,PENDING,,0
2026-07-23,TATACONSUM,Fresh Long Buildup,75,BUY,1093.5,1071.63,1137.24,,PENDING,,0
2026-07-23,PIIND,Short Covering,70,BUY,2690.0,2636.2,2797.6,,PENDING,,0
2026-07-23,BOSCHLTD,Short Covering,70,BUY,41690.0,40856.2,43357.6,,PENDING,,0
2026-07-23,ONGC,Fresh Long Buildup,60,NEUTRAL,251.59,246.5582,261.65360000000004,,PENDING,,0
2026-07-23,PETRONET,Fresh Long Buildup,60,NEUTRAL,278.5,272.93,289.64,,PENDING,,0
2026-07-23,UNITDSPR,Fresh Long Buildup,60,NEUTRAL,1402.1,1374.058,1458.184,,PENDING,,0
2026-07-23,LTF,Fresh Long Buildup,60,NEUTRAL,306.05,299.92900000000003,318.29200000000003,,PENDING,,0
2026-07-23,MCX,Fresh Long Buildup,60,NEUTRAL,2810.7,2754.486,2923.128,,PENDING,,0
2026-07-23,BHEL,Fresh Long Buildup,60,NEUTRAL,415.25,406.945,431.86,,PENDING,,0
2026-07-23,OIL,Fresh Long Buildup,60,NEUTRAL,451.15,442.127,469.196,,PENDING,,0
2026-07-23,TITAN,Fresh Long Buildup,60,NEUTRAL,4711.4,4617.172,4899.856,,PENDING,,0
2026-07-23,JSWSTEEL,Fresh Long Buildup,60,NEUTRAL,1267.4,1242.052,1318.0960000000002,,PENDING,,0
2026-07-23,COLPAL,Fresh Long Buildup,60,NEUTRAL,2109.0,2066.82,2193.36,,PENDING,,0
2026-07-23,MARICO,Fresh Long Buildup,60,NEUTRAL,859.5,842.31,893.88,,PENDING,,0
2026-07-23,POWERGRID,Fresh Long Buildup,60,NEUTRAL,288.6,282.82800000000003,300.14400000000006,,PENDING,,0
2026-07-23,ITC,Fresh Long Buildup,60,NEUTRAL,281.35,275.723,292.60400000000004,,PENDING,,0
2026-07-23,NHPC,Fresh Long Buildup,60,NEUTRAL,79.93,78.3314,83.12720000000002,,PENDING,,0
2026-07-23,DMART,Short Covering,55,NEUTRAL,4000.2,3920.196,4160.208,,PENDING,,0
2026-07-23,KEI,Short Covering,55,NEUTRAL,4974.0,4874.52,5172.96,,PENDING,,0
2026-07-23,SUPREMEIND,Short Covering,55,NEUTRAL,3449.8,3380.804,3587.7920000000004,,PENDING,,0
2026-07-23,BRITANNIA,Short Covering,55,NEUTRAL,5493.5,5383.63,5713.24,,PENDING,,0
2026-07-23,CAMS,Short Covering,55,NEUTRAL,771.55,756.1189999999999,802.412,,PENDING,,0
2026-07-23,RADICO,Short Covering,55,NEUTRAL,4109.9,4027.702,4274.295999999999,,PENDING,,0
2026-07-23,EXIDEIND,Short Covering,55,NEUTRAL,448.8,439.824,466.752,,PENDING,,0
2026-07-23,KALYANKJIL,Short Covering,55,NEUTRAL,597.95,585.991,621.868,,PENDING,,0
2026-07-23,APLAPOLLO,Short Covering,55,NEUTRAL,1819.2,1782.816,1891.968,,PENDING,,0
2026-07-23,YESBANK,Short Covering,55,NEUTRAL,23.28,22.8144,24.2112,,PENDING,,0
2026-07-23,JINDALSTEL,Short Covering,55,NEUTRAL,1045.2,1024.296,1087.008,,PENDING,,0
2026-07-23,IDEA,Short Covering,55,NEUTRAL,13.53,13.2594,14.0712,,PENDING,,0
2026-07-23,POLYCAB,Short Covering,55,NEUTRAL,9132.5,8949.85,9497.8,,PENDING,,0
2026-07-23,VOLTAS,Volume Expansion,45,NEUTRAL,1304.1,1278.0179999999998,1356.264,,PENDING,,0
2026-07-23,TMPV,Neutral,35,SELL,328.5,321.93,341.64,,PENDING,,0
2026-07-23,BHARTIARTL,Neutral,35,SELL,1927.0,1888.46,2004.08,,PENDING,,0
2026-07-23,BANKEX,Neutral,35,SELL,64775.25,63479.745,67366.26000000001,,PENDING,,0
2026-07-23,MPHASIS,Short Buildup,20,SELL,2279.8,2234.204,2370.992,,PENDING,,0
2026-07-23,BANKNIFTY,Short Buildup,20,SELL,57170.8,56027.384000000005,59457.632000000005,,PENDING,,0
