Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
NESTLEIND,1492.9,37.7,11683500.0,6.93,,,,,,,,,8634000.0,365.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,55,NEUTRAL,Positive Price Momentum; Fresh OI Buildup; Volume Expansion
NTPC,350.0,1.55,125973000.0,3.26,,,,,,,,,9421500.0,62.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,55,NEUTRAL,Positive Price Momentum; Fresh OI Buildup; Volume Expansion
ASTRAL,1408.7,10.8,7950475.0,2.36,,,,,,,,,1047625.0,-10.91,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
PIDILITIND,1590.0,10.1,7053000.0,2.31,,,,,,,,,574500.0,-49.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
TVSMOTOR,3909.2,114.6,12780600.0,2.81,,,,,,,,,2360050.0,-30.0,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
DIVISLAB,7351.0,36.0,3817100.0,2.18,,,,,,,,,391700.0,-22.89,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
GODREJCP,1065.8,11.4,10664500.0,2.19,,,,,,,,,930500.0,-1.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
INDUSINDBK,1067.05,2.2,34802600.0,4.92,,,,,,,,,7400400.0,-3.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
BAJAJ-AUTO,10982.0,534.5,2585850.0,2.77,,,,,,,,,1464150.0,6.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
PIIND,2690.0,8.6,2895725.0,-0.9,,,,,,,,,491575.0,134.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion
HINDUNILVR,2158.6,15.3,18159900.0,0.21,,,,,,,,,1487400.0,83.22,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion
TATACONSUM,1093.5,9.6,15045250.0,0.88,,,,,,,,,1652200.0,139.94,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion
BOSCHLTD,41690.0,820.0,214075.0,-0.08,,,,,,,,,29200.0,270.79,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion
POLYCAB,9132.5,214.5,2539375.0,-4.78,,,,,,,,,975750.0,199.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,25,SELL,Positive Price Momentum; OI Reduction; Volume Expansion
ONGC,251.59,1.85,81020250.0,0.45,,,,,,,,,6243750.0,7.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
UNITDSPR,1402.1,14.0,8975600.0,0.79,,,,,,,,,1037600.0,6.4,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
PETRONET,278.5,1.95,31880100.0,0.73,,,,,,,,,1793600.0,-20.2,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
LTF,306.05,0.1,51117750.0,2.03,,,,,,,,,6210000.0,-22.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Fresh OI Buildup
MCX,2810.7,3.7,7697925.0,1.42,,,,,,,,,877275.0,-5.43,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
BRITANNIA,5493.5,14.5,2134625.0,-0.78,,,,,,,,,208000.0,5.65,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
OIL,451.15,6.3,18312000.0,0.72,,,,,,,,,2066400.0,-27.33,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
SUPREMEIND,3449.8,49.9,2070775.0,-0.4,,,,,,,,,219100.0,-25.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
BHEL,415.25,1.6,77644875.0,1.8,,,,,,,,,10542000.0,5.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
RADICO,4109.9,15.6,550950.0,-0.49,,,,,,,,,72600.0,32.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
DMART,4000.2,32.2,4956150.0,-1.51,,,,,,,,,562200.0,35.75,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
KEI,4974.0,19.0,2076200.0,-0.19,,,,,,,,,459550.0,27.17,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
POWERGRID,288.6,2.15,58244500.0,0.58,,,,,,,,,3277500.0,-29.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
EXIDEIND,448.8,5.25,20300400.0,-1.76,,,,,,,,,4249800.0,-46.81,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
TITAN,4711.4,26.9,5144825.0,1.02,,,,,,,,,527275.0,-33.46,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
BANKEX,64775.25,64775.25,60.0,0.0,,,,,,,,,0.0,,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
COLPAL,2109.0,10.3,4516875.0,0.21,,,,,,,,,317075.0,-42.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
CAMS,771.55,4.65,6926700.0,-0.3,,,,,,,,,703725.0,-40.93,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
MARICO,859.5,6.1,12208800.0,0.85,,,,,,,,,1466400.0,-26.87,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,20,SELL,Positive Price Momentum
ICICIPRULI,495.8,-4.7,19639600.0,2.5,,,,,,,,,2425350.0,71.04,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
VMM,111.39,-2.44,48310850.0,12.89,,,,,,,,,8977350.0,98.61,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
SENSEX,76800.0,-708.4,44780.0,5.51,,,,,,,,,17860.0,58.9,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
ETERNAL,285.35,-2.05,139667875.0,2.2,,,,,,,,,22921100.0,63.73,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
YESBANK,23.28,0.11,1139970500.0,-1.28,,,,,,,,,143153300.0,70.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Volume Expansion
SUZLON,52.92,-0.28,404634700.0,-1.26,,,,,,,,,54381400.0,89.8,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Volume Expansion
NMDC,83.6,-0.6,362306250.0,0.01,,,,,,,,,22592250.0,66.27,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Volume Expansion
BLUESTARCO,1650.8,-49.3,3251950.0,11.12,,,,,,,,,680550.0,203.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
BANKNIFTY,57170.8,-797.8,2106990.0,3.9,,,,,,,,,706650.0,65.34,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
SRF,2845.0,-107.4,3908400.0,10.56,,,,,,,,,2414600.0,103.11,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
MANKIND,2545.1,-41.5,2946000.0,2.34,,,,,,,,,365250.0,138.73,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
ZYDUSLIFE,1118.2,-27.6,10192500.0,2.17,,,,,,,,,1669500.0,147.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
