Symbol,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg %,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Price chg,Price Chg %,OI chg,OI Chg %,OI Chg (Value),Volume,Volume Chg %
360ONE,2.66,2.0,0.18,-2.91,-9.55,331,3.65,0.03,4.92,-397.0,-6.96,-111.0,-3.17,286,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,2.99,102.5,1.36,-0.15,-0.48,-652,-3.52,0.02,2.95,-76.0,-0.5,307.0,2.88,383,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2.53,-5.55,-1.38,-0.55,-2.06,285,2.6,0.02,3.39,-254.0,-5.46,-36.0,-1.32,218,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,2.4,-16.5,-0.96,-2.46,-8.49,35,0.12,0.04,9.3,-1164.0,-9.93,-41.0,-0.81,1123,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,2.5,-48.3,-1.54,-0.09,-0.34,-536,-1.08,-0.02,-2.12,-555.0,-2.67,-709.0,-5.36,-154,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,3.4,-56.9,-3.87,-7.01,-16.22,3573,10.45,0.0,0.0,1732.0,11.04,1063.0,11.44,-669,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2.13,-7.5,-0.41,-0.47,-2.04,1255,3.59,0.02,3.17,-668.0,-5.09,-128.0,-1.55,540,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,3.26,-1.25,-0.58,-10.36,-22.99,-491,-1.24,-0.01,-1.75,-886.0,-4.22,-878.0,-7.28,8,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,2.29,-3.5,-0.06,-0.53,-2.42,294,2.45,-0.02,-4.44,-58.0,-1.74,-82.0,-5.53,-24,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,2.3,-81.0,-1.08,-4.83,-16.32,-314,-2.45,0.0,0.0,-260.0,-1.95,-195.0,-1.61,65,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23(1) - Copy.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
