Symbol,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg%,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Price chg,Price chg (%),OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%)
360ONE,2.82,1.5,0.14,-1.51,-4.96,161.0,1.77,0.02,3.28,-264.0,-4.63,-104.0,-2.97,160,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,3.04,106.0,1.41,0.98,3.17,-105.0,-0.57,0.03,4.29,-146.0,-0.96,396.0,3.71,542,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,2.52,-3.85,-0.96,-0.52,-1.94,234.0,2.13,0.02,3.39,-222.0,-4.77,-25.0,-0.92,197,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,2.6,-41.9,-2.43,-2.31,-7.97,559.0,1.94,0.0,0.0,-274.0,-2.34,-94.0,-1.86,180,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,2.61,-59.7,-1.9,0.37,1.41,76.0,0.15,-0.01,-1.56,-76.0,-0.36,-186.0,-1.41,-110,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,3.75,-73.7,-5.01,-3.86,-8.93,3884.0,11.36,-0.03,-5.08,1731.0,11.03,539.0,5.8,-1192,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2.13,-18.5,-1.02,-0.61,-2.65,1196.0,3.42,0.01,1.59,-427.0,-3.26,-171.0,-2.07,256,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,3.31,-1.68,-0.77,-10.68,-23.7,-2.0,-0.01,-0.02,-3.51,-87.0,-0.41,-501.0,-4.15,-414,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,2.11,-52.0,-0.93,-0.02,-0.09,181.0,1.51,-0.01,-2.22,-31.0,-0.93,-42.0,-2.83,-11,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,2.46,-34.0,-0.45,-4.53,-15.31,63.0,0.49,-0.01,-1.1,-54.0,-0.41,-161.0,-1.33,-107,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2.51,-2.5,-0.58,-0.46,-1.74,316.0,0.53,-0.01,-1.96,-184.0,-1.53,-157.0,-2.58,27,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,3.23,-2.6,-0.83,-2.22,-6.15,-292.0,-2.93,0.01,2.17,-359.0,-3.09,-79.0,-1.48,280,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,2.19,20.8,1.14,0.4,1.74,-102.0,-0.64,0.01,1.23,-126.0,-3.41,-70.0,-2.34,56,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,1.53,-29.5,-0.33,-0.76,-4.55,533.0,3.51,0.01,1.05,-214.0,-2.44,-120.0,-1.45,94,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKLEY,3.0,0.98,0.64,-1.35,-4.18,297.0,1.05,0.0,0.0,-378.0,-2.25,-162.0,-1.45,216,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,1.94,-8.6,-0.32,-1.19,-5.48,-123.0,-0.46,0.04,4.55,-465.0,-2.97,128.0,0.93,593,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,2.42,-0.7,-0.05,-2.62,-9.6,-387.0,-2.08,0.03,5.08,-265.0,-3.97,20.0,0.5,285,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,3.81,-5.3,-0.54,1.42,3.71,252.0,1.31,0.04,5.8,-35.0,-0.41,255.0,4.36,290,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,2.51,-2.5,-0.16,-1.84,-6.58,-180.0,-1.18,0.0,0.0,5.0,0.06,-19.0,-0.49,-24,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,1.93,-2.6,-0.21,-1.51,-6.91,1164.0,1.15,0.02,4.08,-984.0,-1.84,228.0,0.87,1212,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,2.24,213.0,1.93,1.04,4.71,-6.0,-0.02,0.17,14.78,1181.0,4.51,6075.0,20.19,4894,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2.09,10.9,0.58,-0.54,-2.44,539.0,1.77,0.01,1.33,-289.0,-1.54,-98.0,-0.69,191,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,3.84,170.0,1.63,-2.95,-10.88,46.0,1.19,0.01,2.27,280.0,15.99,151.0,19.69,-129,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,2.27,-6.0,-0.57,-1.34,-5.28,1201.0,1.49,-0.03,-3.33,329.0,1.58,-261.0,-1.4,-590,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,4.38,-2.17,-1.25,-9.07,-16.05,343.0,1.85,0.0,0.0,-287.0,-1.34,-77.0,-0.66,210,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,3.88,-0.45,-0.18,-0.55,-1.33,411.0,1.13,0.0,0.0,-320.0,-1.41,-271.0,-1.6,49,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKEX,1.68,-262.75,-0.41,-0.05,-0.32,0.0,0.0,-0.1,-8.2,163.0,16.11,78.0,6.33,-85,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,4.6,-0.4,-0.28,0.59,1.23,-127.0,-0.74,0.0,0.0,-61.0,-0.8,-37.0,-0.59,24,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKNIFTY,1.35,-262.6,-0.46,-1.18,-7.68,-115.0,-0.17,-0.02,-2.6,27214.0,4.07,11766.0,2.3,-15448,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL,2.72,2.5,0.2,-2.24,-6.98,-262.0,-1.44,0.01,2.63,-583.0,-3.33,-40.0,-0.59,543,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,2.86,-0.9,-0.22,-0.56,-1.84,329.0,0.55,0.01,1.64,-498.0,-1.53,25.0,0.13,523,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2.45,10.5,0.48,-0.79,-2.96,241.0,1.58,0.01,1.47,-161.0,-3.44,-67.0,-2.11,94,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARTIARTL,1.41,-17.7,-0.92,0.59,4.18,24.0,0.04,0.0,0.0,-956.0,-2.53,-542.0,-2.86,414,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHEL,2.67,-2.05,-0.49,-0.48,-1.7,228.0,0.83,0.01,1.69,-768.0,-3.42,-96.0,-0.73,672,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOCON,2.53,-2.8,-0.64,-1.05,-3.88,-74.0,-0.42,-0.01,-1.25,-14.0,-0.12,-230.0,-2.4,-216,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESTARCO,2.22,-2.3,-0.14,-0.33,-1.42,-45.0,-0.52,-0.02,-2.9,58.0,0.87,-68.0,-1.48,-126,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,5.33,990.0,2.38,2.98,12.76,147.0,1.81,0.08,11.59,-170.0,-2.93,347.0,8.67,517,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,2.64,3.2,1.02,-5.36,-16.13,373.0,1.76,0.08,8.16,-401.0,-3.96,433.0,4.36,834,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,1.92,-30.5,-0.55,-1.88,-8.59,75.0,0.46,0.0,0.0,-4.0,-0.07,-52.0,-1.17,-48,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE,2.99,-16.0,-0.44,-1.46,-4.53,-287.0,-0.75,0.02,3.77,-518.0,-1.53,136.0,0.75,654,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS,2.38,-7.75,-1.0,-1.54,-5.87,93.0,1.17,-0.01,-2.08,109.0,1.78,-14.0,-0.48,-123,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,4.12,0.4,0.32,-0.87,-2.0,587.0,1.25,0.0,0.0,-73.0,-0.46,-29.0,-0.24,44,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDSL,2.89,-5.4,-0.4,-1.12,-3.5,-435.0,-2.18,0.0,0.0,-209.0,-1.3,-95.0,-0.92,114,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,4.65,-5.85,-0.64,0.91,1.89,-36.0,-0.16,0.0,0.0,-104.0,-0.91,-78.0,-1.06,26,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2.74,-8.0,-0.46,-3.75,-11.42,521.0,2.53,0.05,7.69,-499.0,-7.86,5.0,0.12,504,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,4.09,-7.1,-0.5,3.82,9.85,3390.0,12.14,0.04,6.35,-139.0,-0.84,657.0,6.35,796,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,1.96,-0.7,-0.16,0.05,0.24,-265.0,-0.6,0.01,1.61,-414.0,-1.66,-57.0,-0.37,357,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2.33,12.3,0.9,-2.15,-8.25,-370.0,-2.14,0.04,7.84,-315.0,-3.14,237.0,4.59,552,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFORGE,3.81,-4.0,-0.27,-3.45,-7.92,-809.0,-2.18,0.01,1.96,-197.0,-1.12,59.0,0.66,256,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2.16,-0.5,-0.02,-3.04,-11.77,-170.0,-1.04,0.03,4.23,-260.0,-3.8,66.0,1.36,326,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCOR,3.36,3.4,0.71,1.46,4.36,-41.0,-0.31,-0.01,-1.27,-29.0,-0.49,-41.0,-0.89,-12,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROMPTON,2.7,-3.6,-1.42,-1.36,-4.53,327.0,1.35,0.01,2.5,-46.0,-0.77,25.0,1.04,71,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,2.34,30.0,0.54,1.53,7.02,128.0,0.61,-0.02,-2.99,-5.0,-0.09,-136.0,-3.63,-131,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2.11,-1.75,-0.41,-1.93,-8.0,183.0,0.81,0.0,0.0,-136.0,-1.25,-50.0,-0.82,86,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALBHARAT,3.51,3.6,0.19,0.64,1.77,-476.0,-3.28,-0.03,-3.85,39.0,0.92,-72.0,-2.18,-111,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELHIVERY,3.09,4.1,0.88,-1.29,-3.86,56.0,0.54,0.01,2.0,-155.0,-1.38,1.0,0.02,156,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,1.91,-23.0,-0.31,-0.6,-2.87,2399.0,6.74,-0.01,-0.85,144.0,0.94,60.0,0.33,-84,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIXON,3.07,79.0,0.57,-1.46,-4.61,-669.0,-1.64,-0.02,-2.63,-784.0,-1.82,-1183.0,-3.63,-399,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2.81,3.7,0.57,-2.93,-9.11,-148.0,-0.37,0.0,0.0,-462.0,-3.12,-166.0,-1.71,296,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMART,2.52,59.5,1.48,1.26,5.06,-673.0,-2.14,0.02,5.56,-2375.0,-9.6,-358.0,-4.02,2017,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2.37,-31.1,-2.63,-14.13,-36.23,405.0,1.9,0.15,29.41,454.0,1.28,5404.0,29.66,4950,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2.1,57.0,0.75,-0.41,-1.83,842.0,2.36,-0.02,-2.25,1108.0,5.69,575.0,3.31,-533,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL,3.39,9.8,3.45,-12.08,-25.28,552.0,1.02,0.02,3.64,-285.0,-0.76,461.0,2.22,746,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXIDEIND,2.58,-4.0,-0.89,-1.41,-4.91,-8.0,-0.07,-0.02,-3.03,158.0,1.46,-57.0,-0.8,-215,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
