Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
NHPC,80.73,0.7,126462200.0,-1.1,,,,,,,,,45446050.0,308.69,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
SHREECEM,26890.0,235.0,346800.0,1.54,,,,,,,,,47000.0,185.28,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
KAYNES,3314.0,60.6,3818250.0,-1.15,,,,,,,,,118950.0,109.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
APLAPOLLO,1841.0,19.8,5570250.0,-0.58,,,,,,,,,397950.0,83.39,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
AMBUJACEM,427.25,-3.15,72088800.0,0.54,,,,,,,,,9700800.0,78.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TRENT,2901.7,16.0,11400975.0,-2.5,,,,,,,,,1542375.0,71.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
OFSS,10880.0,9.0,1558400.0,-2.49,,,,,,,,,879400.0,66.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TORNTPHARM,5003.1,-26.5,3580875.0,-0.17,,,,,,,,,515500.0,56.81,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
GMRAIRPORT,108.57,-1.3,119956050.0,4.24,,,,,,,,,13343175.0,54.27,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
NUVAMA,1918.5,36.8,1512000.0,-4.7,,,,,,,,,327000.0,47.96,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
CIPLA,1406.3,-7.3,13319075.0,12.23,,,,,,,,,2545750.0,38.85,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ADANIENSOL,1678.9,-47.0,19820700.0,1.97,,,,,,,,,3688875.0,33.55,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
DMART,4070.5,60.9,4608150.0,-2.2,,,,,,,,,911700.0,33.44,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
GAIL,171.56,-1.36,69998900.0,-1.6,,,,,,,,,6794700.0,31.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
FORCEMOT,17800.0,404.0,224250.0,-2.24,,,,,,,,,49850.0,29.65,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
LODHA,1164.65,2.4,14016875.0,-8.64,,,,,,,,,3111250.0,25.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
OIL,460.45,9.05,17491600.0,-2.74,,,,,,,,,3039400.0,23.0,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
