Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
EICHERMOT,7705.0,70.0,3663200.0,2.52,,,,,,,,,276000.0,-24.84,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,7705.0,7550.9,8013.200000000001
GODREJCP,1079.0,9.6,10778500.0,9.1,,,,,,,,,1124000.0,-0.09,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1079.0,1057.42,1122.16
M&M,3245.0,72.3,14546400.0,2.82,,,,,,,,,1297800.0,-33.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,3245.0,3180.1,3374.8
TVSMOTOR,3941.3,33.6,12283075.0,2.27,,,,,,,,,972825.0,-61.4,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,3941.3,3862.474,4098.952
KEI,4995.5,13.5,1890350.0,3.34,,,,,,,,,220150.0,-56.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,4995.5,4895.59,5195.320000000001
SHREECEM,26890.0,235.0,346800.0,1.54,,,,,,,,,47000.0,185.28,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,26890.0,26352.2,27965.600000000002
APLAPOLLO,1841.0,19.8,5570250.0,-0.58,,,,,,,,,397950.0,83.39,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion,Short Covering,70,MEDIUM,BUY,WATCH,MEDIUM,1841.0,1804.18,1914.64
KAYNES,3314.0,60.6,3818250.0,-1.15,,,,,,,,,118950.0,109.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion,Short Covering,70,MEDIUM,BUY,WATCH,MEDIUM,3314.0,3247.72,3446.56
HYUNDAI,1976.8,29.8,4799300.0,0.96,,,,,,,,,427075.0,-29.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1976.8,1937.264,2055.872
HCLTECH,1240.4,6.0,31132400.0,0.92,,,,,,,,,1980000.0,-29.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1240.4,1215.592,1290.016
360ONE,1093.8,1.2,4619000.0,1.82,,,,,,,,,445000.0,-33.68,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1093.8,1071.924,1137.552
BOSCHLTD,42560.0,955.0,206400.0,1.85,,,,,,,,,31800.0,-8.49,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,42560.0,41708.799999999996,44262.4
BHARATFORG,2204.9,11.4,7766000.0,1.54,,,,,,,,,717000.0,-31.52,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2204.9,2160.802,2293.096
BAJAJHLDNG,10570.0,157.0,292800.0,1.32,,,,,,,,,29625.0,-31.78,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,10570.0,10358.6,10992.800000000001
ICICIGI,1592.7,6.1,6297525.0,0.36,,,,,,,,,437125.0,5.91,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1592.7,1560.846,1656.4080000000001
UPL,611.65,3.05,24407615.0,0.65,,,,,,,,,1570445.0,-57.25,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,611.65,599.4169999999999,636.116
BPCL,316.0,2.75,42492125.0,1.73,,,,,,,,,5770950.0,-60.4,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,316.0,309.68,328.64
HDFCAMC,2554.9,10.4,5109000.0,1.13,,,,,,,,,434700.0,-57.85,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2554.9,2503.802,2657.096
MARUTI,13550.0,14.0,2086000.0,1.7,,,,,,,,,124100.0,-59.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,13550.0,13279.0,14092.0
ASHOKLEY,153.39,1.04,142610000.0,1.11,,,,,,,,,6755000.0,-60.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,153.39,150.32219999999998,159.5256
ETERNAL,294.8,10.45,132773600.0,1.23,,,,,,,,,29837200.0,-61.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,294.8,288.904,306.59200000000004
DELHIVERY,471.7,4.55,21797875.0,0.54,,,,,,,,,1276125.0,-87.61,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,471.7,462.26599999999996,490.568
BAJAJFINSV,1888.0,11.6,9291600.0,1.82,,,,,,,,,579000.0,-26.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1888.0,1850.24,1963.52
HAVELLS,1215.4,6.2,8851500.0,0.6,,,,,,,,,636500.0,-41.26,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1215.4,1191.092,1264.016
TATACONSUM,1102.4,6.3,14987500.0,1.76,,,,,,,,,1186900.0,-39.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1102.4,1080.352,1146.496
PHOENIXLTD,2060.5,6.8,3170300.0,1.7,,,,,,,,,218050.0,-42.21,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2060.5,2019.29,2142.92
