Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,,11.74,11.74,11.74,11.74,11.74,,,,,,,74.38,74.38,UNKNOWN,Sector_Summary_25AUG26_Report_4_8_2026.xlsx
LICI,393.95,-7.41,-7.41,-7.41,-7.41,-7.41,-7.41,-7.41,-7.41,-7.41,-7.41,28266000,56.12,56.12,56.12,56.12,56.12,,,,,,15590400,707.54,707.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
KEI,5378,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,1996225,2.06,2.06,2.06,2.06,2.06,,,,,,644525,58.41,58.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
IREDA,117.43,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,67861425,8.74,8.74,8.74,8.74,8.74,,,,,,12565925,1.98,1.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GODFRYPHLP,"2,357.5",5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,1861475,7.41,7.41,7.41,7.41,7.41,,,,,,672925,-28.99,-28.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
POLYCAB,9250,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,2254625,-1,-1,-1,-1,-1,,,,,,125250,-39.53,-39.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
DABUR,416.05,-2.48,-2.48,-2.48,-2.48,-2.48,-2.48,-2.48,-2.48,-2.48,-2.48,29857500,1.59,1.59,1.59,1.59,1.59,,,,,,1553750,-52.08,-52.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
DLF,654,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,46515800,0.27,0.27,0.27,0.27,0.27,,,,,,1820200,-54.22,-54.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
UPL,596.4,-3.72,-3.72,-3.72,-3.72,-3.72,-3.72,-3.72,-3.72,-3.72,-3.72,31318115,1.05,1.05,1.05,1.05,1.05,,,,,,3304845,-60.42,-60.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
KALYANKJIL,591.05,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,23452200,-0.69,-0.69,-0.69,-0.69,-0.69,,,,,,1949400,-60.74,-60.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PREMIERENE,"1,058.2",2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,7415200,-0.34,-0.34,-0.34,-0.34,-0.34,,,,,,260000,-62.51,-62.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
