Symbol,Price,Price Chg %,OI,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
LICI,393.95,-7.41,28266000.0,56.12,,,,,,15590400.0,707.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
KEI,5378.0,6.81,1996225.0,2.06,,,,,,644525.0,58.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
IREDA,117.43,-4.01,67861425.0,8.74,,,,,,12565925.0,1.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GODFRYPHLP,2357.5,5.9,1861475.0,7.41,,,,,,672925.0,-28.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
POLYCAB,9250.0,1.92,2254625.0,-1.0,,,,,,125250.0,-39.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
DABUR,416.05,-2.48,29857500.0,1.59,,,,,,1553750.0,-52.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
DLF,654.0,-1.84,46515800.0,0.27,,,,,,1820200.0,-54.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
UPL,596.4,-3.72,31318115.0,1.05,,,,,,3304845.0,-60.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
KALYANKJIL,591.05,-2.71,23452200.0,-0.69,,,,,,1949400.0,-60.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PREMIERENE,1058.2,2.56,7415200.0,-0.34,,,,,,260000.0,-62.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
VEDL,271.6,1.91,50062950.0,0.1,,,,,,1279950.0,-62.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SBILIFE,1891.0,-1.09,6296250.0,0.71,,,,,,181500.0,-71.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
UNITDSPR,1531.0,-0.01,7739600.0,-0.21,,,,,,146400.0,-71.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HDFCLIFE,547.1,-1.04,46524500.0,0.34,,,,,,815100.0,-73.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
POWERGRID,284.95,0.09,45195300.0,0.25,,,,,,813200.0,-73.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HINDALCO,1007.75,1.09,53072600.0,0.01,,,,,,1701000.0,-74.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
FEDERALBNK,359.0,-0.28,85975000.0,0.44,,,,,,1212500.0,-74.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SAIL,171.87,0.93,178990100.0,-0.22,,,,,,1931700.0,-75.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
KOTAKBANK,397.15,0.51,174176000.0,0.07,,,,,,1772000.0,-76.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
LICHSGFIN,508.0,0.69,29925000.0,1.3,,,,,,942000.0,-78.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PIDILITIND,1656.9,1.03,7736000.0,0.06,,,,,,139500.0,-78.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
POWERINDIA,32590.0,1.29,580900.0,0.23,,,,,,9150.0,-79.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NAM-INDIA,1171.3,0.84,7074375.0,0.35,,,,,,73125.0,-79.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GRASIM,3151.1,-0.6,11822750.0,0.04,,,,,,117250.0,-79.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BAJAJ-AUTO,11582.0,0.45,1914375.0,0.68,,,,,,52725.0,-80.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CANBK,128.49,1.05,391014000.0,0.0,,,,,,5292000.0,-80.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NATIONALUM,375.6,2.93,46515000.0,0.27,,,,,,2739375.0,-80.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GODREJPROP,2074.5,-0.32,7601750.0,0.56,,,,,,167050.0,-81.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
RBLBANK,380.4,0.45,44996100.0,0.43,,,,,,831850.0,-81.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NESTLEIND,1523.8,0.43,8402500.0,0.56,,,,,,158000.0,-81.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
COFORGE,1759.9,-0.68,13769775.0,1.13,,,,,,376200.0,-81.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PAYTM,1419.9,0.15,20249250.0,2.72,,,,,,2779650.0,-81.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NAUKRI,1276.1,1.04,14070100.0,0.31,,,,,,178200.0,-82.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BLUESTARCO,1728.9,0.4,3145025.0,0.8,,,,,,56550.0,-83.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ADANIPORTS,1717.0,0.82,20869125.0,0.13,,,,,,254125.0,-83.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HEROMOTOCO,5472.5,0.85,4656150.0,0.7,,,,,,107850.0,-83.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HINDZINC,557.85,1.55,29707475.0,-0.1,,,,,,617400.0,-83.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ASTRAL,1460.5,0.55,7121300.0,0.14,,,,,,121550.0,-84.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
OBEROIRLTY,1825.0,-0.63,5441100.0,0.28,,,,,,51450.0,-84.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MFSL,1533.5,-0.15,9638000.0,0.1,,,,,,98800.0,-85.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CGPOWER,869.4,1.48,20254650.0,-0.06,,,,,,469200.0,-85.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
COLPAL,2045.7,-1.16,4971725.0,1.24,,,,,,104775.0,-85.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
IDFCFIRSTB,85.65,0.86,357180250.0,0.09,,,,,,4294325.0,-86.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TVSMOTOR,4368.0,0.52,9291975.0,0.49,,,,,,145600.0,-86.72,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GODREJCP,1067.9,-0.9,10951000.0,0.92,,,,,,174500.0,-86.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ADANIENT,3090.4,0.56,15674025.0,-0.21,,,,,,165006.0,-87.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
AXISBANK,1257.6,0.15,81002500.0,0.17,,,,,,802500.0,-87.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HINDUNILVR,2109.7,-0.47,14865000.0,0.24,,,,,,128400.0,-87.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SRF,2658.8,0.33,4521400.0,0.11,,,,,,28000.0,-88.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HDFCBANK,752.2,-0.23,298402650.0,0.22,,,,,,1684800.0,-88.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
VMM,111.99,0.52,45396000.0,0.79,,,,,,955450.0,-88.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GVT&D,4387.5,1.6,2859625.0,0.06,,,,,,37375.0,-88.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TATASTEEL,192.5,1.12,169372500.0,-0.12,,,,,,2398000.0,-88.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
WAAREEENER,2683.3,0.9,7675325.0,-0.04,,,,,,41300.0,-88.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
IDEA,13.06,0.85,5894471775.0,0.05,,,,,,14723850.0,-88.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
LAURUSLABS,1822.0,0.61,16541850.0,0.44,,,,,,272850.0,-88.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SUZLON,49.27,0.02,456234800.0,0.06,,,,,,3835400.0,-89.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
IRFC,90.03,-0.55,86490775.0,0.43,,,,,,1209775.0,-89.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TATACONSUM,1094.1,-0.5,15703050.0,0.16,,,,,,108900.0,-89.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TRENT,3082.0,0.94,10647900.0,-0.13,,,,,,69975.0,-89.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ADANIGREEN,1410.4,0.76,26577000.0,-0.25,,,,,,306000.0,-89.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BHARATFORG,2198.1,-0.41,7628000.0,0.26,,,,,,78500.0,-89.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BEL,392.65,0.61,103259775.0,0.02,,,,,,645525.0,-89.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MOTHERSON,155.66,0.69,125004900.0,0.4,,,,,,2054100.0,-89.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BRITANNIA,5471.5,-0.17,1916125.0,0.39,,,,,,19000.0,-89.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TITAN,4889.3,-0.17,5346775.0,0.36,,,,,,47250.0,-89.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
YESBANK,22.94,0.13,1180742600.0,-0.04,,,,,,5007100.0,-89.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
INDUSTOWER,393.35,-0.06,90033700.0,0.2,,,,,,479400.0,-89.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GMRAIRPORT,106.98,0.99,129142125.0,0.02,,,,,,676575.0,-89.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
RADICO,4456.2,0.4,800100.0,0.58,,,,,,17100.0,-90.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BHARTIARTL,1963.0,0.12,54568950.0,0.06,,,,,,213275.0,-90.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ONGC,241.92,0.67,56121750.0,-0.01,,,,,,704250.0,-90.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SIEMENS,3958.0,0.8,3543400.0,0.41,,,,,,78050.0,-90.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MARICO,876.0,-0.54,16303200.0,0.35,,,,,,343200.0,-90.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NIFTYNXT50,74300.0,0.08,19350.0,0.13,,,,,,250.0,-90.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TIINDIA,2804.9,2.04,2208800.0,-0.06,,,,,,20600.0,-90.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SBIN,1038.9,-0.27,82570500.0,0.28,,,,,,907500.0,-90.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ICICIPRULI,513.6,-1.09,18316850.0,0.39,,,,,,181300.0,-90.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BPCL,324.95,-0.51,40430225.0,-0.22,,,,,,493750.0,-91.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
INDUSINDBK,1019.9,0.3,33704300.0,-0.05,,,,,,120400.0,-91.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MOTILALOFS,874.95,0.41,7025375.0,-0.13,,,,,,92225.0,-91.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MIDCPNIFTY,14859.55,0.0,1895880.0,0.39,,,,,,23760.0,-91.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BSE,3571.1,-0.01,8435600.0,0.29,,,,,,251200.0,-91.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CROMPTON,267.35,-0.11,59559300.0,0.08,,,,,,393450.0,-91.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
APOLLOHOSP,8852.5,0.36,1924500.0,-0.1,,,,,,21125.0,-91.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PIIND,2829.2,0.21,2722825.0,0.61,,,,,,37625.0,-91.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PAGEIND,39985.0,-0.58,233420.0,0.51,,,,,,2580.0,-91.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
OFSS,11529.0,0.22,1289500.0,0.2,,,,,,13800.0,-91.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TECHM,1645.0,-0.77,17176200.0,0.25,,,,,,231600.0,-91.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
JSWENERGY,567.55,0.1,24666950.0,-0.07,,,,,,151575.0,-91.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PHOENIXLTD,1924.1,-0.01,3703350.0,-0.12,,,,,,26950.0,-91.72,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MCX,2658.8,1.09,7548750.0,-0.04,,,,,,168975.0,-91.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CUMMINSIND,5555.5,0.53,3949800.0,0.13,,,,,,21000.0,-91.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BDL,1254.5,0.38,7121725.0,-0.13,,,,,,57375.0,-91.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SENSEX,78999.0,0.04,38560.0,1.0,,,,,,1320.0,-91.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NYKAA,338.5,-0.73,44934375.0,-0.01,,,,,,771875.0,-92.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PGEL,618.95,-0.67,10660900.0,0.21,,,,,,173850.0,-92.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NIFTY,24659.0,0.04,11879270.0,-0.15,,,,,,243880.0,-92.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
JSWSTEEL,1285.1,0.14,39600225.0,0.02,,,,,,207225.0,-92.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BOSCHLTD,41090.0,-0.04,208875.0,0.19,,,,,,1325.0,-92.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ICICIBANK,1450.5,0.23,104451900.0,0.08,,,,,,434000.0,-92.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PATANJALI,361.8,-0.17,33030450.0,1.0,,,,,,561150.0,-92.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HAVELLS,1293.0,0.7,9179500.0,-0.06,,,,,,93500.0,-92.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
UNIONBANK,174.1,0.17,118811250.0,0.12,,,,,,774375.0,-92.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
360ONE,1157.0,0.41,4104500.0,0.06,,,,,,27000.0,-92.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CDSL,1322.0,-0.29,10555450.0,0.69,,,,,,199025.0,-92.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
M&M,3401.0,-0.14,12298000.0,0.07,,,,,,121800.0,-92.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
DELHIVERY,478.1,1.16,27643150.0,0.45,,,,,,842450.0,-93.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
COCHINSHIP,1447.0,0.08,5354800.0,0.09,,,,,,57200.0,-93.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
RVNL,231.27,-0.77,34961850.0,0.37,,,,,,479325.0,-93.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
INDIANB,846.45,0.12,12356000.0,0.26,,,,,,120000.0,-93.15,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PNBHOUSING,1077.7,-0.72,7705750.0,0.33,,,,,,191100.0,-93.15,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
VOLTAS,1346.7,0.7,7014750.0,0.03,,,,,,48375.0,-93.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BANKNIFTY,57925.0,0.11,2100780.0,0.05,,,,,,44820.0,-93.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BHEL,411.9,0.54,80498250.0,0.11,,,,,,414750.0,-93.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
LODHA,1241.5,0.83,11790625.0,-0.14,,,,,,118125.0,-93.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
RELIANCE,1310.5,-0.09,102418000.0,0.02,,,,,,391000.0,-93.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MAZDOCK,2396.0,0.27,5065200.0,0.01,,,,,,27450.0,-93.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
