Symbol,Price,Price Chg %,OI,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID
KEI,5378.0,6.81,1996225.0,2.06,,,,,,644525.0,58.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,55,NEUTRAL,Positive Price Momentum; Fresh OI Buildup; Volume Expansion,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:6.81|OI:2.06|VOL:58.41|FUT:nan,PDNA_0F2D468C
GODFRYPHLP,2357.5,5.9,1861475.0,7.41,,,,,,672925.0,-28.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:5.9|OI:7.41|VOL:-28.99|FUT:nan,PDNA_0E789A7A
POLYCAB,9250.0,1.92,2254625.0,-1.0,,,,,,125250.0,-39.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.92|OI:-1.0|VOL:-39.53|FUT:nan,PDNA_104BBACD
PIDILITIND,1656.9,1.03,7736000.0,0.06,,,,,,139500.0,-78.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.03|OI:0.06|VOL:-78.85|FUT:nan,PDNA_27173206
POWERINDIA,32590.0,1.29,580900.0,0.23,,,,,,9150.0,-79.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.29|OI:0.23|VOL:-79.07|FUT:nan,PDNA_82837002
HINDALCO,1007.75,1.09,53072600.0,0.01,,,,,,1701000.0,-74.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.09|OI:0.01|VOL:-74.21|FUT:nan,PDNA_02BD5AC3
VEDL,271.6,1.91,50062950.0,0.1,,,,,,1279950.0,-62.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.91|OI:0.1|VOL:-62.86|FUT:nan,PDNA_36EBF757
PREMIERENE,1058.2,2.56,7415200.0,-0.34,,,,,,260000.0,-62.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:2.56|OI:-0.34|VOL:-62.51|FUT:nan,PDNA_ED075215
CGPOWER,869.4,1.48,20254650.0,-0.06,,,,,,469200.0,-85.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.48|OI:-0.06|VOL:-85.26|FUT:nan,PDNA_7E8F55E2
GVT&D,4387.5,1.6,2859625.0,0.06,,,,,,37375.0,-88.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.6|OI:0.06|VOL:-88.59|FUT:nan,PDNA_1DB0B930
