Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
ICICIGI,1691.8,3.25,5144100.0,3.07,,,,,,,,,922350.0,281.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,55,NEUTRAL,Positive Price Momentum; Fresh OI Buildup; Volume Expansion,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.25|OI:3.07|VOL:281.97|FUT:nan,PDNA_CDED3109,80,HIGH,BUY,VALID BUY,LOW,1691.8,1657.964,1759.472,True,Eligible,1751.9,1675.2,1692.9,EOD EXIT,Neither target nor stop reached; exited at close,1692.9,1.1000000000001364,0.0650195058517636
IDFCFIRSTB,86.09,0.67,355251050.0,0.0,,,,,,,,,2699025.0,-85.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.67|OI:0.0|VOL:-85.24|FUT:nan,PDNA_1DB985DA,35,LOW,SELL,VALID SELL,HIGH,86.09,87.8118,82.6464,True,Eligible,86.4,84.67,84.82,EOD EXIT,Neither target nor stop reached; exited at close,84.82,1.2700000000000102,1.4752003717040425
ITC,287.7,0.0,156923250.0,0.04,,,,,,,,,905625.0,-89.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.0|OI:0.04|VOL:-89.66|FUT:nan,PDNA_9B780F3B,35,LOW,SELL,VALID SELL,HIGH,287.7,293.454,276.192,True,Eligible,289.0,285.7,286.6,EOD EXIT,Neither target nor stop reached; exited at close,286.6,1.099999999999966,0.3823427181091296
AXISBANK,1259.3,0.58,80531250.0,0.0,,,,,,,,,836875.0,-81.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.58|OI:0.0|VOL:-81.48|FUT:nan,PDNA_FFDC2E0D,35,LOW,SELL,VALID SELL,HIGH,1259.3,1284.486,1208.928,True,Eligible,1265.6,1251.1,1255.3,EOD EXIT,Neither target nor stop reached; exited at close,1255.3,4.0,0.3176367823393949
NYKAA,332.95,-1.48,50496875.0,9.88,,,,,,,,,12753125.0,69.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion,Short Buildup,PAT:Short Buildup|SCR:|P:-1.48|OI:9.88|VOL:69.9|FUT:nan,PDNA_82197BB5,20,LOW,SELL,VALID SELL,HIGH,332.95,339.609,319.632,True,Eligible,346.2,328.6,335.6,STOP LOSS HIT,Stop loss breached during replay range,339.609,-6.658999999999992,-1.9999999999999976
BSE,3590.6,-0.4,9091200.0,7.09,,,,,,,,,1408200.0,-39.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Fresh OI Buildup,Short Buildup,PAT:Short Buildup|SCR:|P:-0.4|OI:7.09|VOL:-39.12|FUT:nan,PDNA_2EACB7FA,20,LOW,SELL,VALID SELL,HIGH,3590.6,3662.412,3446.976,True,Eligible,3664.1,3483.1,3525.5,STOP LOSS HIT,Stop loss breached during replay range,3662.412,-71.8119999999999,-1.9999999999999973
ONGC,241.05,-0.33,55977750.0,2.69,,,,,,,,,4952250.0,-17.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Fresh OI Buildup,Short Buildup,PAT:Short Buildup|SCR:|P:-0.33|OI:2.69|VOL:-17.81|FUT:nan,PDNA_AF838D23,20,LOW,SELL,VALID SELL,HIGH,241.05,245.871,231.408,True,Eligible,244.75,238.74,239.25,EOD EXIT,Neither target nor stop reached; exited at close,239.25,1.8000000000000114,0.7467330429371546
MCX,2606.2,-2.6,8459325.0,11.55,,,,,,,,,2218500.0,45.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,PAT:Short Buildup|SCR:|P:-2.6|OI:11.55|VOL:45.97|FUT:nan,PDNA_3A8EABC4,20,LOW,SELL,VALID SELL,HIGH,2606.2,2658.324,2501.952,True,Eligible,2678.2,2566.4,2610.0,STOP LOSS HIT,Stop loss breached during replay range,2658.324,-52.12400000000025,-2.0000000000000098
APOLLOHOSP,8867.5,-0.21,1957375.0,0.9,,,,,,,,,44750.0,-72.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.21|OI:0.9|VOL:-72.01|FUT:nan,PDNA_FC65CB67,20,LOW,SELL,VALID SELL,HIGH,8867.5,9044.85,8512.8,True,Eligible,8987.0,8827.0,8933.0,EOD EXIT,Neither target nor stop reached; exited at close,8933.0,-65.5,-0.738652382294897
OIL,441.0,-2.18,15932000.0,0.9,,,,,,,,,665000.0,-23.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum,Short Buildup,PAT:Short Buildup|SCR:|P:-2.18|OI:0.9|VOL:-23.01|FUT:nan,PDNA_9FABA10D,20,LOW,SELL,VALID SELL,HIGH,441.0,449.82,423.36,True,Eligible,447.7,436.6,445.1,EOD EXIT,Neither target nor stop reached; exited at close,445.1,-4.100000000000023,-0.9297052154195063
ANGELONE,299.15,-0.4,28530000.0,1.55,,,,,,,,,1252500.0,-73.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.4|OI:1.55|VOL:-73.56|FUT:nan,PDNA_61F74357,20,LOW,SELL,VALID SELL,HIGH,299.15,305.133,287.184,True,Eligible,303.45,295.55,300.0,EOD EXIT,Neither target nor stop reached; exited at close,300.0,-0.8500000000000227,-0.28413839211098874
FORTIS,926.05,-0.34,10066475.0,0.29,,,,,,,,,233275.0,-87.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.34|OI:0.29|VOL:-87.25|FUT:nan,PDNA_E79278F0,20,LOW,SELL,VALID SELL,HIGH,926.05,944.571,889.0079999999999,True,Eligible,936.15,917.5,928.55,EOD EXIT,Neither target nor stop reached; exited at close,928.55,-2.5,-0.26996382484747045
SUNPHARMA,1947.4,-0.73,13841450.0,0.12,,,,,,,,,144200.0,-82.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.73|OI:0.12|VOL:-82.71|FUT:nan,PDNA_FC536805,20,LOW,SELL,VALID SELL,HIGH,1947.4,1986.348,1869.504,True,Eligible,1968.5,1942.5,1947.7,EOD EXIT,Neither target nor stop reached; exited at close,1947.7,-0.2999999999999545,-0.015405155592069144
CIPLA,1449.3,-0.72,8901625.0,0.12,,,,,,,,,68850.0,-86.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.72|OI:0.12|VOL:-86.24|FUT:nan,PDNA_70385B64,20,LOW,SELL,VALID SELL,HIGH,1449.3,1478.286,1391.328,True,Eligible,1470.9,1443.1,1469.0,EOD EXIT,Neither target nor stop reached; exited at close,1469.0,-19.700000000000045,-1.3592768922928342
