Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
SENSEX50,,,,,,,,,,,,,,,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-04.xlsx
ICICIGI,1691.8,3.25,5144100.0,3.07,,,,,,,,,922350.0,281.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BHARTIARTL,1966.8,0.13,55092875.0,1.08,,,,,,,,,3340200.0,71.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NYKAA,332.95,-1.48,50496875.0,9.88,,,,,,,,,12753125.0,69.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MCX,2606.2,-2.6,8459325.0,11.55,,,,,,,,,2218500.0,45.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
HINDPETRO,398.45,1.27,44626950.0,0.02,,,,,,,,,1956150.0,-7.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
UNIONBANK,178.37,2.37,118660800.0,0.48,,,,,,,,,5513550.0,-14.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ONGC,241.05,-0.33,55977750.0,2.69,,,,,,,,,4952250.0,-17.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BANKINDIA,142.79,1.82,94364400.0,-1.87,,,,,,,,,4191200.0,-20.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
OIL,441.0,-2.18,15932000.0,0.9,,,,,,,,,665000.0,-23.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BOSCHLTD,42500.0,2.53,208350.0,0.45,,,,,,,,,15950.0,-31.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
INDIGO,5455.5,2.16,5633250.0,0.45,,,,,,,,,364350.0,-32.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NHPC,81.0,0.53,118400200.0,-0.42,,,,,,,,,8889050.0,-33.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BSE,3590.6,-0.4,9091200.0,7.09,,,,,,,,,1408200.0,-39.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
