Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
ICICIGI,1691.8,3.25,5144100.0,3.07,,,,,,,,,922350.0,281.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,55,NEUTRAL,Positive Price Momentum; Fresh OI Buildup; Volume Expansion
BANKINDIA,142.79,1.82,94364400.0,-1.87,,,,,,,,,4191200.0,-20.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
ONGC,241.05,-0.33,55977750.0,2.69,,,,,,,,,4952250.0,-17.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Fresh OI Buildup
UNIONBANK,178.37,2.37,118660800.0,0.48,,,,,,,,,5513550.0,-14.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
HINDPETRO,398.45,1.27,44626950.0,0.02,,,,,,,,,1956150.0,-7.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BSE,3590.6,-0.4,9091200.0,7.09,,,,,,,,,1408200.0,-39.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Fresh OI Buildup
PNBHOUSING,1131.5,4.36,7831850.0,1.18,,,,,,,,,2629250.0,-39.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
INDIGO,5455.5,2.16,5633250.0,0.45,,,,,,,,,364350.0,-32.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BOSCHLTD,42500.0,2.53,208350.0,0.45,,,,,,,,,15950.0,-31.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BHARATFORG,2224.0,1.32,7809000.0,0.3,,,,,,,,,431000.0,-48.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
MANAPPURAM,365.05,1.8,63369000.0,-0.28,,,,,,,,,4665000.0,-52.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BAJAJHLDNG,11576.0,2.06,357825.0,0.57,,,,,,,,,19500.0,-42.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
