Symbol,Pattern,NTIS Intraday Score,Intraday Probability %,Confidence,Final Bias,Snapshot Time,Signal Strength
ICICIGI,Fresh Long Buildup,55,80,HIGH,BUY,09:41:32,STRONG
HINDPETRO,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
UNIONBANK,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
INDIGO,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
PNBHOUSING,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
BOSCHLTD,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
AMBUJACEM,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
BAJAJHLDNG,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
BHARATFORG,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
CHOLAFIN,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
PGEL,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
IOC,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
DLF,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
BAJAJFINSV,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
KFINTECH,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
LTF,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ABCAPITAL,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
M&M,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
SHRIRAMFIN,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ASHOKLEY,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ETERNAL,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
CONCOR,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
TVSMOTOR,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
360ONE,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
AUBANK,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
SBIN,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
PNB,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
MOTHERSON,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
IEX,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
BHARTIARTL,Fresh Long Buildup,15,60,MEDIUM,NEUTRAL,09:41:32,STABLE
GODREJCP,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
GRASIM,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
BLUESTARCO,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
MFSL,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
NESTLEIND,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
CROMPTON,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
HEROMOTOCO,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
NAM-INDIA,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
BPCL,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
BAJFINANCE,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
HINDZINC,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
JIOFIN,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
CUMMINSIND,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
UNOMINDA,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ICICIPRULI,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
SONACOMS,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
EICHERMOT,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ABB,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
CDSL,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
LTM,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
IREDA,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
JSWSTEEL,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
COLPAL,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
SHREECEM,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ADANIENSOL,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
CGPOWER,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
NAUKRI,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
KOTAKBANK,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
SIEMENS,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
NATIONALUM,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
VOLTAS,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ADANIGREEN,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
NIFTYNXT50,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
VBL,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ADANIPOWER,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
MANKIND,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
JINDALSTEL,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
RADICO,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
RELIANCE,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
SBICARD,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ULTRACEMCO,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
POWERGRID,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
MOTILALOFS,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
LAURUSLABS,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ASIANPAINT,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
SENSEX,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
RBLBANK,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
ICICIBANK,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
VEDL,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
MPHASIS,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
POLICYBZR,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
INDUSTOWER,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
GMRAIRPORT,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,09:41:32,STABLE
