Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
HAL,4838.5,3.69,5203350.0,0.78,,,,,,,,,538050.0,33.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.69|OI:0.78|VOL:33.49|FUT:nan,PDNA_FA712DD0,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4838.5,,
POLICYBZR,1640.0,0.28,9638650.0,2.57,,,,,,,,,868350.0,-21.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.28|OI:2.57|VOL:-21.46|FUT:nan,PDNA_53D70A79,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1640.0,,
CUMMINSIND,5410.5,0.49,4546000.0,2.58,,,,,,,,,928600.0,-52.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.49|OI:2.58|VOL:-52.8|FUT:nan,PDNA_00DA7A00,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,5410.5,,
SWIGGY,293.1,1.88,68371800.0,1.04,,,,,,,,,2111525.0,-79.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.88|OI:1.04|VOL:-79.66|FUT:nan,PDNA_90C50CC6,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,293.1,,
TITAN,4987.7,1.38,5311425.0,0.64,,,,,,,,,236425.0,-60.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.38|OI:0.64|VOL:-60.93|FUT:nan,PDNA_4EBF88C0,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4987.7,,
SAIL,179.44,1.83,181025200.0,1.1,,,,,,,,,8765500.0,-65.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.83|OI:1.1|VOL:-65.79|FUT:nan,PDNA_4E8C58D9,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,179.44,,
MUTHOOTFIN,2959.5,1.27,6738600.0,1.11,,,,,,,,,355575.0,-79.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.27|OI:1.11|VOL:-79.91|FUT:nan,PDNA_A072D896,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2959.5,,
SHRIRAMFIN,1128.0,0.83,27106200.0,2.59,,,,,,,,,1260600.0,-79.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.83|OI:2.59|VOL:-79.57|FUT:nan,PDNA_43501AD6,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1128.0,,
NMDC,86.79,0.87,350662500.0,0.13,,,,,,,,,5109750.0,-76.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.87|OI:0.13|VOL:-76.96|FUT:nan,PDNA_D3C480AA,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,86.79,,
PNBHOUSING,1152.0,1.74,7703150.0,0.85,,,,,,,,,421850.0,-94.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.74|OI:0.85|VOL:-94.27|FUT:nan,PDNA_4C8BF74C,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1152.0,,
MANAPPURAM,372.65,1.86,65976000.0,0.21,,,,,,,,,3093000.0,-78.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.86|OI:0.21|VOL:-78.97|FUT:nan,PDNA_F8A9D55B,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,372.65,,
PGEL,612.05,0.57,11870250.0,2.28,,,,,,,,,597550.0,-87.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.57|OI:2.28|VOL:-87.45|FUT:nan,PDNA_92B15A5F,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,612.05,,
BDL,1256.8,1.12,7189725.0,0.14,,,,,,,,,140675.0,-87.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.12|OI:0.14|VOL:-87.57|FUT:nan,PDNA_694840E1,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1256.8,,
ETERNAL,315.7,1.2,153931725.0,0.3,,,,,,,,,1956975.0,-83.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.2|OI:0.3|VOL:-83.57|FUT:nan,PDNA_0BAA5F13,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,315.7,,
