Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,-88.55,-88.55,UNKNOWN,Sector_Summary_25AUG26_Report_7_8_2026.xlsx
BAJFINANCE,"1,101.5",-4.59,-4.59,-4.59,-4.59,-4.59,-4.59,-4.59,-4.59,-4.59,-4.59,-4.59,54321750,1.95,1.95,1.95,1.95,1.95,,,,,,,,,5377500,29.96,29.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
FINNIFTY,"26,772.2",-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,41160,21.63,21.63,21.63,21.63,21.63,,,,,,,,,9420,11.35,11.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
BRITANNIA,5655,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,1952000,1.75,1.75,1.75,1.75,1.75,,,,,,,,,500500,9.13,9.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
FORTIS,935.55,1,1,1,1,1,1,1,1,1,1,1,10448550,0.21,0.21,0.21,0.21,0.21,,,,,,,,,869550,-3.69,-3.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
BAJAJFINSV,2024,-3.56,-3.56,-3.56,-3.56,-3.56,-3.56,-3.56,-3.56,-3.56,-3.56,-3.56,7888200,-0.51,-0.51,-0.51,-0.51,-0.51,,,,,,,,,671400,-21.61,-21.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
PREMIERENE,"1,022.3",-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,7372950,2.09,2.09,2.09,2.09,2.09,,,,,,,,,531050,-28.4,-28.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
LTF,310.5,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,44923500,1.57,1.57,1.57,1.57,1.57,,,,,,,,,2488500,-30.79,-30.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
CROMPTON,254.95,-5.38,-5.38,-5.38,-5.38,-5.38,-5.38,-5.38,-5.38,-5.38,-5.38,-5.38,61034200,2.2,2.2,2.2,2.2,2.2,,,,,,,,,4095750,-31.05,-31.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
ABCAPITAL,412.5,-2.88,-2.88,-2.88,-2.88,-2.88,-2.88,-2.88,-2.88,-2.88,-2.88,-2.88,37947100,1.68,1.68,1.68,1.68,1.68,,,,,,,,,2511000,-39.64,-39.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
DALBHARAT,1810,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,3687450,-0.31,-0.31,-0.31,-0.31,-0.31,,,,,,,,,119275,-43.63,-43.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
PGEL,624,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,12060250,2.04,2.04,2.04,2.04,2.04,,,,,,,,,2361700,-45.12,-45.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
LUPIN,"2,396.9",-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,7022275,4.36,4.36,4.36,4.36,4.36,,,,,,,,,671075,-46.22,-46.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
HEROMOTOCO,5640,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,4701900,1.1,1.1,1.1,1.1,1.1,,,,,,,,,301950,-48.32,-48.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
