Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias
LTM,4644.8,1.57,2588100.0,2.45,,,,,,,,,154050.0,-74.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.57|OI:2.45|VOL:-74.26|FUT:nan,PDNA_7D333AB8,75,HIGH,BUY
PGEL,624.0,1.56,12060250.0,2.04,,,,,,,,,2361700.0,-45.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.56|OI:2.04|VOL:-45.12|FUT:nan,PDNA_B6E5B47C,75,HIGH,BUY
BRITANNIA,5655.0,4.64,1952000.0,1.75,,,,,,,,,500500.0,9.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:4.64|OI:1.75|VOL:9.13|FUT:nan,PDNA_E74ACD75,60,MEDIUM,NEUTRAL
TECHM,1678.0,2.17,17404200.0,0.87,,,,,,,,,564600.0,-73.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.17|OI:0.87|VOL:-73.7|FUT:nan,PDNA_7CEE77B5,60,MEDIUM,NEUTRAL
UNOMINDA,1281.4,1.12,4851550.0,0.33,,,,,,,,,92400.0,-87.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.12|OI:0.33|VOL:-87.91|FUT:nan,PDNA_2B433C73,60,MEDIUM,NEUTRAL
OIL,452.0,1.68,16153200.0,0.17,,,,,,,,,240800.0,-79.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.68|OI:0.17|VOL:-79.45|FUT:nan,PDNA_CCDF224B,60,MEDIUM,NEUTRAL
PERSISTENT,5571.5,1.13,3449375.0,0.35,,,,,,,,,48750.0,-81.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.13|OI:0.35|VOL:-81.84|FUT:nan,PDNA_5650A77B,60,MEDIUM,NEUTRAL
KALYANKJIL,622.1,3.54,28032750.0,1.49,,,,,,,,,7280550.0,-63.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.54|OI:1.49|VOL:-63.17|FUT:nan,PDNA_0B8D39A7,60,MEDIUM,NEUTRAL
FORTIS,935.55,1.0,10448550.0,0.21,,,,,,,,,869550.0,-3.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.0|OI:0.21|VOL:-3.69|FUT:nan,PDNA_D0FB5AF2,60,MEDIUM,NEUTRAL
MCX,2687.6,1.83,8889975.0,0.38,,,,,,,,,499275.0,-78.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.83|OI:0.38|VOL:-78.03|FUT:nan,PDNA_9F1BC482,60,MEDIUM,NEUTRAL
MPHASIS,2461.3,1.69,3954225.0,0.48,,,,,,,,,84150.0,-76.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.69|OI:0.48|VOL:-76.5|FUT:nan,PDNA_2CF786B6,60,MEDIUM,NEUTRAL
OBEROIRLTY,1795.0,0.34,5583550.0,0.33,,,,,,,,,66150.0,-87.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.34|OI:0.33|VOL:-87.84|FUT:nan,PDNA_806FCF3C,60,MEDIUM,NEUTRAL
PATANJALI,353.7,0.03,34925675.0,0.19,,,,,,,,,466550.0,-90.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.03|OI:0.19|VOL:-90.23|FUT:nan,PDNA_8046AA24,60,MEDIUM,NEUTRAL
BHARATFORG,2224.9,0.1,8042500.0,0.13,,,,,,,,,145000.0,-90.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.1|OI:0.13|VOL:-90.37|FUT:nan,PDNA_284B4E1E,60,MEDIUM,NEUTRAL
PRESTIGE,1592.0,0.63,5237550.0,0.61,,,,,,,,,68400.0,-84.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.63|OI:0.61|VOL:-84.62|FUT:nan,PDNA_D0A88D5E,60,MEDIUM,NEUTRAL
DELHIVERY,468.05,0.16,26979150.0,0.05,,,,,,,,,560250.0,-85.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.16|OI:0.05|VOL:-85.38|FUT:nan,PDNA_7E06E539,60,MEDIUM,NEUTRAL
BHEL,412.75,0.39,80994375.0,0.09,,,,,,,,,989625.0,-83.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.39|OI:0.09|VOL:-83.21|FUT:nan,PDNA_4E883261,60,MEDIUM,NEUTRAL
M&M,3458.2,0.77,11967800.0,0.14,,,,,,,,,152400.0,-83.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.77|OI:0.14|VOL:-83.3|FUT:nan,PDNA_DDC37087,60,MEDIUM,NEUTRAL
