Symbol,ATM Straddle Price,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg %,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI chg,OI Chg (Value),Volume,Volume Chg %
360ONE,56.25,4.88,1150.3,1155.2,1145.0,1152.6,-1.2,-0.1,0.62,1.94,10,0.12,0.02,3.45,35,0.91,81,3.6,46,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,366.4,4.76,7680.0,7708.0,7591.5,7707.0,78,1.02,0.76,2.53,53,0.33,0.01,1.64,-31,-0.21,56,0.63,87,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,17.95,4.41,407.1,408.25,405.6,406.65,-1.2,-0.29,0.06,0.21,20,0.16,0,0,44,0.54,20,0.39,-24,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,83.95,5.25,1635.0,1635.0,1597.6,1597.6,-29.2,-1.79,0.45,1.35,92,0.33,0,0,85,1.11,28,0.8,-57,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,152,5.11,3020.0,3020.0,2971.2,2971.6,-22.8,-0.76,0.92,2.79,145,0.28,-0.01,-1.67,546,2.78,40,0.34,-506,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,74.05,5.49,1373.9,1373.9,1347.4,1347.4,-17,-1.25,0.11,0.31,58,0.13,-0.01,-2.13,386,2.18,9,0.11,-377,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,66.25,3.98,1673.7,1675.2,1663.5,1664.5,-9.1,-0.54,-0.16,-0.61,26,0.06,0,0,311,0.96,140,0.82,-171,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,11,5.27,209.99,209.99,208.35,208.65,-0.71,-0.34,1,2.99,102,0.22,0,0,191,1.29,44,0.57,-147,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,295.7,5.38,5503.5,5535.0,5485.0,5491.5,-38.5,-0.7,-0.68,-1.94,-19,-0.16,0,0,9,0.19,-9,-0.33,-18,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,470.45,6.72,7035.0,7050.0,6968.5,6999.0,-68,-0.96,0.85,1.96,290,2.11,-0.01,-1.06,312,2.15,217,1.59,-95,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,15.5,3.65,427.0,427.45,423.75,424.65,-1.25,-0.29,-1.2,-4.73,158,0.23,0,0,106,0.78,57,0.71,-49,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,15.7,5.42,289.75,291.4,288.0,289.6,-2,-0.69,0.11,0.31,29,0.24,0,0,55,0.45,76,1.34,21,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,73.1,3.61,2034.9,2034.9,2001.0,2024.4,11.9,0.59,-0.64,-2.62,105,0.61,0,0,-5,-0.08,16,0.41,21,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,415.1,4.81,8800.0,8800.0,8620.0,8620.5,-190,-2.16,2.92,10.12,296,1.76,-0.1,-15.38,1990,18.06,34,0.48,-1956,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKLEY,10.49,5.92,176.0,177.9,175.1,177.07,1.28,0.73,0.97,2.56,56,0.2,0.02,2.38,-125,-0.92,151,1.32,276,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,91.35,3.33,2737.5,2754.0,2737.5,2743.8,-0.1,0,-0.03,-0.14,20,0.07,0.01,1.54,111,0.55,88,0.67,-23,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,84.65,5.91,1420.0,1432.9,1420.0,1431.0,12.2,0.86,0.14,0.36,29,0.18,-0.01,-1.69,136,2.32,41,1.19,-95,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,41.5,3.87,1066.2,1079.0,1064.0,1071.5,4.2,0.39,0.88,3.65,21,0.1,-0.01,-1.49,253,3.26,97,1.86,-156,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,68.3,4.11,1659.2,1667.9,1654.8,1660.5,4.9,0.3,0.13,0.48,51,0.26,0.01,1.64,-40,-0.5,55,1.12,95,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,35.15,2.84,1232.6,1239.9,1231.5,1237.5,0.5,0.04,0.34,1.85,125,0.1,-0.01,-1.56,140,0.4,58,0.26,-82,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,406.2,3.44,11681.0,11831.0,11681.0,11819.0,113,0.97,0.29,1.3,9,0.04,0.06,4,-387,-2.25,505,1.96,892,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,68.1,3.38,2012.5,2024.7,2012.1,2017.3,-2.8,-0.14,0.7,3.26,14,0.06,0,0,-3,-0.01,100,0.68,103,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,469,4.06,11546.0,11588.0,11546.0,11550.0,37,0.32,-0.2,-0.77,2,0.05,-0.01,-0.88,11,1.03,-1,-0.08,-12,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,41.4,3.79,1090.0,1098.6,1090.0,1092.6,-4.9,-0.45,0.21,0.86,83,0.11,-0.01,-1.37,403,1.16,-149,-0.58,-552,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,7.03,4.06,172.72,173.3,171.5,173.3,0.57,0.33,-4.42,-17.81,-11,-0.03,0,0,1,0.01,4,0.05,3,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,10.18,4.07,246.01,250.8,246.01,250.14,2.84,1.15,-0.4,-1.52,-80,-0.18,0.01,1.18,-126,-0.77,9,0.06,135,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKEX,1399.65,2.15,65299.95,65300.0,65299.95,65300.0,182.3,0.28,-0.58,-4.33,0,0,-0.09,-9.68,58,7.54,-20,-2.79,-78,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,6.83,4.72,141.85,145.25,141.85,144.95,2.91,2.05,2,6.91,-79,-0.46,0,0,-57,-0.86,-47,-0.8,10,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKNIFTY,1106.85,1.91,57576.0,57900.0,57464.2,57830.2,254,0.44,0.22,1.77,-261,-0.38,0.06,7.32,-3978,-0.81,24598,6.12,28576,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL,92.5,6.99,1317.0,1324.0,1312.1,1323.7,12.5,0.95,0.17,0.38,-41,-0.25,0.01,1.33,-31,-0.39,23,0.38,54,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
