Symbol,ATM Straddle Price,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Price,Price Chg%,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price chg (%),Volume chg (%),OI chg (%),Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg (%)
360ONE,33,2.83,1165.0,1165.0,1160.9,1164.9,-4.8,-0.41,0.1,0.34,-1,-0.01,-0.01,-1.85,78.0,1.89,7.0,0.32,-71,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,216.6,2.89,7546.0,7559.0,7485.5,7494.5,-91.5,-1.21,-0.27,-0.96,2,0.01,0,0,7.0,0.04,8.0,0.09,1,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,10.55,2.65,401.6,401.7,397.6,398.0,-4.3,-1.07,0.77,3.08,11,0.09,-0.01,-1.37,78.0,1.08,5.0,0.09,-73,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,60.1,3.83,1590.0,1590.0,1560.6,1565.4,-39.2,-2.44,3.82,11.53,115,0.41,-0.01,-2.22,177.0,1.98,17.0,0.42,-160,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,86.5,2.88,3005.0,3010.7,2993.9,2996.7,-14.4,-0.48,0.53,1.99,36,0.07,-0.01,-1.64,181.0,1.19,33.0,0.36,-148,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,42.15,3.25,1310.0,1310.0,1288.7,1298.0,-14.9,-1.13,3.13,9.97,15,0.03,0,0,198.0,1.09,51.0,0.61,-147,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,37.85,2.25,1691.5,1691.5,1677.1,1679.3,-7.1,-0.42,0.72,3.39,0,0,0,0,105.0,0.37,109.0,0.73,4,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,7.35,3.6,206.13,206.26,203.66,204.03,-2.69,-1.3,2.08,6.61,69,0.16,-0.01,-2.13,161.0,0.95,-14.0,-0.18,-175,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,123.25,2.26,5420.0,5473.0,5420.0,5465.0,-6.5,-0.12,-0.17,-0.77,18,0.16,0,0,-58.0,-0.52,19.0,0.39,77,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,217.5,2.97,7385.0,7385.0,7295.0,7330.0,-48.5,-0.66,2.45,9.24,-23,-0.16,-0.01,-1.64,117.0,0.57,-72.0,-0.58,-189,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,8.9,2.17,410.6,411.3,408.9,409.4,-2.75,-0.67,-0.42,-1.97,-7,-0.01,0,0,-41.0,-0.28,13.0,0.16,54,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,10.4,3.6,290.5,294.0,288.8,289.15,-1.95,-0.67,0.66,1.96,48,0.38,0.01,2.04,-17.0,-0.15,29.0,0.51,46,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,48.25,2.29,2105.0,2111.5,2105.0,2107.0,-10.3,-0.49,2.39,12.26,35,0.17,0,0,33.0,0.48,30.0,0.65,-3,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-19.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
