Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-2.13,-2.13,-2.13,-2.13,-2.13,,0.24,0.24,,,,,,,,,,-58.73,-58.73,UNKNOWN,Sector_Summary_25AUG26_Report_19_8_2026_112116.xlsx
NIFTYNXT50,"73,826.6",-0.53,-0.53,-0.53,-0.53,-0.53,17275,-5.86,-5.86,,,,,,,,,4450,295.56,295.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SAIL,171.23,-0.86,-0.86,-0.86,-0.86,-0.86,161318100,0.63,0.63,,,,,,,,,3943300,163.01,163.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
GLENMARK,"2,232.7",-3.63,-3.63,-3.63,-3.63,-3.63,11263125,-0.43,-0.43,,,,,,,,,712125,112.42,112.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BLUESTARCO,"1,487.5",-0.29,-0.29,-0.29,-0.29,-0.29,5585125,15.5,15.5,,,,,,,,,994825,111.4,111.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
NAM-INDIA,"1,193.6",1.36,1.36,1.36,1.36,1.36,8407500,18.55,18.55,,,,,,,,,1617500,102.66,102.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
POWERINDIA,33725,-4.45,-4.45,-4.45,-4.45,-4.45,542900,-0.39,-0.39,,,,,,,,,61500,71.31,71.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
YESBANK,22.65,0.53,0.53,0.53,0.53,0.53,1133439500,6.09,6.09,,,,,,,,,113826000,64.57,64.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
MIDCPNIFTY,14880.65,0.05,0.05,0.05,0.05,0.05,1951080,10.68,10.68,,,,,,,,,262560,61.48,61.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
MARICO,853.65,0.89,0.89,0.89,0.89,0.89,16402800,2.15,2.15,,,,,,,,,1290000,61.41,61.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
PIDILITIND,"1,664.5",-0.19,-0.19,-0.19,-0.19,-0.19,5714000,4.23,4.23,,,,,,,,,682000,55.71,55.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
NATIONALUM,384.05,-0.61,-0.61,-0.61,-0.61,-0.61,40078125,0.06,0.06,,,,,,,,,3804375,45.87,45.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
JINDALSTEL,"1,116.5",1.32,1.32,1.32,1.32,1.32,13604375,-0.52,-0.52,,,,,,,,,1059375,29.0,29.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
