Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %,Win
ICICIGI,1667.1,48.1,4584775.0,3.27,,,,,,,,,626600.0,-75.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1667.1,1633.7579999999998,1733.784,True,Eligible,1676.1,1621.8,1673.7,STOP LOSS HIT,Stop loss breached during replay range,1633.7579999999998,-33.3420000000001,-2.0000000000000058,False
CIPLA,1429.5,37.5,6542025.0,2.08,,,,,,,,,731000.0,-92.17,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1429.5,1400.91,1486.68,True,Eligible,1452.0,1403.0,1416.7,EOD EXIT,Neither target nor stop reached; exited at close,1416.7,-12.799999999999956,-0.8954179783140926,False
DMART,4072.7,23.4,3204450.0,0.0,,,,,,,,,162750.0,-93.18,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,20,SELL,Positive Price Momentum,Neutral,25,LOW,SELL,VALID SELL,HIGH,4072.7,4154.154,3909.792,True,Eligible,4052.0,3984.1,4010.4,EOD EXIT,Neither target nor stop reached; exited at close,4010.4,62.29999999999973,1.5296977435116688,False
SENSEX,75800.0,-665.55,39640.0,2.38,,,,,,,,,3320.0,-86.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,75800.0,77316.0,72768.0,True,Eligible,76620.0,75940.0,76568.85,EOD EXIT,Neither target nor stop reached; exited at close,76568.85,-768.8500000000058,-1.014313984168873,False
CAMS,757.5,-1.35,5711475.0,-0.03,,,,,,,,,273900.0,-82.08,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,757.5,772.65,727.1999999999999,True,Eligible,769.5,744.65,764.45,EOD EXIT,Neither target nor stop reached; exited at close,764.45,-6.9500000000000455,-0.9174917491749236,False
TECHM,1556.0,-5.5,14148600.0,1.0,,,,,,,,,1135200.0,-84.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1556.0,1587.12,1493.76,True,Eligible,1576.2,1530.1,1558.7,EOD EXIT,Neither target nor stop reached; exited at close,1558.7,-2.700000000000045,-0.1735218508997458,False
OBEROIRLTY,1801.7,-11.8,4690700.0,-1.29,,,,,,,,,395500.0,-83.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1801.7,1837.734,1729.632,True,Eligible,1825.0,1763.5,1809.7,EOD EXIT,Neither target nor stop reached; exited at close,1809.7,-8.0,-0.444025087417439,False
BANKNIFTY,56250.2,-415.2,1792890.0,-0.7,,,,,,,,,107550.0,-83.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,56250.2,57375.204,54000.192,True,Eligible,57168.0,56400.0,57086.6,EOD EXIT,Neither target nor stop reached; exited at close,57086.6,-836.4000000000015,-1.4869280464780597,False
BRITANNIA,5343.0,-46.0,1405125.0,3.86,,,,,,,,,162500.0,-83.43,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,5343.0,5449.86,5129.28,True,Eligible,5395.5,5258.5,5315.5,EOD EXIT,Neither target nor stop reached; exited at close,5315.5,27.5,0.5146921205315366,False
BDL,1227.8,-8.1,6358000.0,-1.57,,,,,,,,,359550.0,-82.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1227.8,1252.356,1178.688,True,Eligible,1217.0,1183.1,1209.8,EOD EXIT,Neither target nor stop reached; exited at close,1209.8,18.0,1.4660368138133246,False
KALYANKJIL,580.0,-7.15,24914250.0,1.37,,,,,,,,,1588950.0,-82.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,580.0,591.6,556.8,True,Eligible,589.35,573.75,576.45,EOD EXIT,Neither target nor stop reached; exited at close,576.45,3.5499999999999545,0.6120689655172336,False
MUTHOOTFIN,2939.3,-72.1,5009125.0,1.17,,,,,,,,,267850.0,-86.93,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,2939.3,2998.086,2821.728,True,Eligible,3018.9,2941.0,3004.7,STOP LOSS HIT,Stop loss breached during replay range,2998.086,-58.7859999999996,-1.9999999999999865,False
KEI,4852.5,-57.0,1360625.0,-0.33,,,,,,,,,91525.0,-87.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,4852.5,4949.55,4658.4,True,Eligible,4841.0,4725.0,4817.5,EOD EXIT,Neither target nor stop reached; exited at close,4817.5,35.0,0.7212776919113859,False
PGEL,569.2,-7.75,8812200.0,-1.13,,,,,,,,,499700.0,-87.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,569.2,580.5840000000001,546.432,True,Eligible,579.25,563.0,575.65,EOD EXIT,Neither target nor stop reached; exited at close,575.65,-6.449999999999932,-1.1331693605059612,False
UPL,601.05,-5.2,20242345.0,1.13,,,,,,,,,701890.0,-87.38,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,601.05,613.0709999999999,577.0079999999999,True,Eligible,608.0,598.95,606.25,EOD EXIT,Neither target nor stop reached; exited at close,606.25,-5.2000000000000455,-0.8651526495299967,False
MANAPPURAM,349.05,-4.4,47622000.0,0.08,,,,,,,,,2145000.0,-87.37,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,349.05,356.031,335.088,True,Eligible,354.95,347.5,353.45,EOD EXIT,Neither target nor stop reached; exited at close,353.45,-4.399999999999977,-1.2605643890560023,False
KFINTECH,865.1,-1.8,4292375.0,-0.59,,,,,,,,,315675.0,-77.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,865.1,882.402,830.496,True,Eligible,870.45,848.95,852.45,EOD EXIT,Neither target nor stop reached; exited at close,852.45,12.649999999999975,1.4622586984163652,False
CDSL,1315.2,-9.0,7728725.0,-0.8,,,,,,,,,356725.0,-85.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1315.2,1341.504,1262.592,True,Eligible,1340.9,1305.2,1331.2,EOD EXIT,Neither target nor stop reached; exited at close,1331.2,-16.0,-1.21654501216545,False
AMBER,7322.0,-122.0,1054500.0,-0.99,,,,,,,,,60400.0,-86.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,7322.0,7468.44,7029.12,True,Eligible,7422.0,7189.0,7237.5,EOD EXIT,Neither target nor stop reached; exited at close,7237.5,84.5,1.154056268779022,False
DIXON,13632.0,-186.0,1508900.0,-0.56,,,,,,,,,103800.0,-84.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,13632.0,13904.64,13086.72,True,Eligible,13740.0,13390.0,13678.0,EOD EXIT,Neither target nor stop reached; exited at close,13678.0,-46.0,-0.3374413145539906,False
NAUKRI,1163.0,-2.65,9639850.0,1.36,,,,,,,,,547800.0,-86.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1163.0,1186.26,1116.48,True,Eligible,1179.85,1151.3,1169.6,EOD EXIT,Neither target nor stop reached; exited at close,1169.6,-6.599999999999909,-0.5674978503869226,False
AMBUJACEM,418.9,-4.4,54002400.0,-0.04,,,,,,,,,2960400.0,-85.0,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,418.9,427.278,402.144,True,Eligible,429.3,417.5,426.5,STOP LOSS HIT,Stop loss breached during replay range,427.278,-8.378000000000043,-2.0000000000000107,False
NIFTY,23699.9,-173.7,11899680.0,0.77,,,,,,,,,618150.0,-88.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,23699.9,24173.898,22751.904,True,Eligible,23906.0,23701.0,23874.6,EOD EXIT,Neither target nor stop reached; exited at close,23874.6,-174.6999999999971,-0.7371339119574222,False
FINNIFTY,25850.0,-194.6,26940.0,1.35,,,,,,,,,1140.0,-88.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,25850.0,26367.0,24816.0,True,Eligible,26182.5,25899.9,26082.0,EOD EXIT,Neither target nor stop reached; exited at close,26082.0,-232.0,-0.897485493230174,False
KPITTECH,550.25,-2.35,10357100.0,-1.76,,,,,,,,,764150.0,-87.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,550.25,561.255,528.24,True,Eligible,575.45,534.3,571.65,STOP LOSS HIT,Stop loss breached during replay range,561.255,-11.004999999999995,-1.9999999999999991,False
PFC,409.85,-0.25,41952300.0,-0.16,,,,,,,,,1138800.0,-88.74,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,409.85,418.047,393.456,True,Eligible,411.85,401.8,409.5,EOD EXIT,Neither target nor stop reached; exited at close,409.5,0.3500000000000227,0.0853970964987245,False
MARUTI,13226.0,-157.0,1626100.0,0.36,,,,,,,,,67450.0,-88.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,13226.0,13490.52,12696.96,True,Eligible,13444.0,13059.0,13377.0,EOD EXIT,Neither target nor stop reached; exited at close,13377.0,-151.0,-1.141690609405716,False
