Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg%,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Price chg,Price chg (%),OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%)
360ONE,7.22,1070.0,1087.9,1069.9,1081.0,-9.3,-0.85,0.14,0.44,224.0,5.3,-0.08,-10.26,34,10.93,-2,-0.83,-36,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,8.39,7408.0,7451.0,7404.0,7450.5,-45,-0.6,-0.12,-0.33,178.0,2.39,0,0,64,2.9,44,3.35,-20,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,8.07,391.1,391.1,386.1,387.85,-6.45,-1.64,1.51,4.64,329.0,7.95,0.06,7.5,24,2.3,75,8.94,51,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,9.3,1682.0,1710.2,1682.0,1710.2,16.8,0.99,-0.71,-1.79,539.0,4.99,0,0,15,1.18,14,1.64,-1,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,8.43,3022.6,3047.0,3009.7,3036.9,8.1,0.27,-0.08,-0.23,842.0,4.38,0.06,8.7,-185,-3.89,178,5.44,363,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,9.51,1372.4,1393.9,1356.0,1392.2,7.3,0.53,0.53,1.35,896.0,5.42,-0.02,-4.17,281,4.82,-13,-0.46,-294,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,6.41,1780.0,1790.6,1767.2,1790.6,0.3,0.02,0.37,1.38,537.0,3.05,0.02,2.99,36,1.16,85,4.06,49,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,9.77,213.0,214.88,211.14,214.39,0.87,0.41,0.94,2.35,366.0,2.38,-0.01,-1.43,146,3.61,31,1.09,-115,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,6.58,5550.0,5645.0,5550.0,5621.0,-8.5,-0.15,-0.21,-0.75,121.0,3.46,-0.09,-20.93,29,18.13,-4,-5.88,-33,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,7.94,7355.0,7422.0,7292.5,7307.5,-147.5,-1.98,0.47,1.23,337.0,8.65,-0.03,-3.37,136,7.81,60,3.86,-76,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-24.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
