Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_28JUL26_Report_2026-07-24.xlsx
KAYNES,3137,-110.4,-110.4,-110.4,-110.4,-110.4,-110.4,-110.4,-110.4,-110.4,-110.4,-110.4,3324600,-2.04,-2.04,-2.04,-2.04,-2.04,,,,,,,,,370200,-48.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INFY,"1,033.2",-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,79588800,-1.49,-1.49,-1.49,-1.49,-1.49,,,,,,,,,19251600,-50.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NUVAMA,"2,045.5",97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,1087000,-2.77,-2.77,-2.77,-2.77,-2.77,,,,,,,,,419500,-56.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SWIGGY,242.41,-19.03,-19.03,-19.03,-19.03,-19.03,-19.03,-19.03,-19.03,-19.03,-19.03,-19.03,31222100,2.34,2.34,2.34,2.34,2.34,,,,,,,,,7736175,-61.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MOTILALOFS,890.85,-51.65,-51.65,-51.65,-51.65,-51.65,-51.65,-51.65,-51.65,-51.65,-51.65,-51.65,4343875,1.72,1.72,1.72,1.72,1.72,,,,,,,,,814525,-63.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INDIGO,"4,904.5",-121.5,-121.5,-121.5,-121.5,-121.5,-121.5,-121.5,-121.5,-121.5,-121.5,-121.5,3863400,1.7,1.7,1.7,1.7,1.7,,,,,,,,,880950,-67.63,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MPHASIS,2262,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,3317325,-3.13,-3.13,-3.13,-3.13,-3.13,,,,,,,,,742500,-70.26,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BIOCON,430.4,-4.65,-4.65,-4.65,-4.65,-4.65,-4.65,-4.65,-4.65,-4.65,-4.65,-4.65,35970000,2.09,2.09,2.09,2.09,2.09,,,,,,,,,3892500,-71.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
EXIDEIND,444,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,17955000,0.45,0.45,0.45,0.45,0.45,,,,,,,,,1092600,-71.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
