Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
COFORGE,1660.6,8.64,15181475.0,8.31,,,,,,,,,4140100.0,-41.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1660.6,1627.388,1727.024,True,Eligible,1690.7,1568.9,1683.7,STOP LOSS HIT,Stop loss breached during replay range,1627.388,-33.21199999999999,-1.9999999999999993
INFY,1111.8,2.62,92652000.0,3.13,,,,,,,,,8764800.0,-76.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1111.8,1089.564,1156.272,True,Eligible,1114.9,1097.0,1103.0,EOD EXIT,Neither target nor stop reached; exited at close,1103.0,-8.799999999999955,-0.7915092642561572
KPITTECH,592.6,1.31,11001125.0,3.31,,,,,,,,,898225.0,-88.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,592.6,580.748,616.3040000000001,True,Eligible,606.65,587.3,601.2,EOD EXIT,Neither target nor stop reached; exited at close,601.2,8.600000000000023,1.4512318596017588
MPHASIS,2447.7,4.21,4265525.0,2.07,,,,,,,,,280500.0,-85.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,2447.7,2398.746,2545.608,True,Eligible,2448.8,2366.1,2414.4,STOP LOSS HIT,Stop loss breached during replay range,2398.746,-48.95399999999972,-1.999999999999989
ZYDUSLIFE,1115.5,0.0,9065700.0,0.36,,,,,,,,,79200.0,-97.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,1115.5,1137.81,1070.88,True,Eligible,1115.0,1093.5,1099.5,EOD EXIT,Neither target nor stop reached; exited at close,1099.5,16.0,1.4343343792021517
PHOENIXLTD,2046.6,0.15,3184650.0,0.0,,,,,,,,,20300.0,-98.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,2046.6,2087.532,1964.736,True,Eligible,2042.6,2011.0,2025.2,EOD EXIT,Neither target nor stop reached; exited at close,2025.2,21.399999999999864,1.0456366656894296
SRF,2639.2,-0.24,4012200.0,0.14,,,,,,,,,33200.0,-97.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,2639.2,2691.984,2533.632,True,Eligible,2655.2,2614.0,2638.0,EOD EXIT,Neither target nor stop reached; exited at close,2638.0,1.199999999999818,0.045468323734458096
BSE,3536.4,-0.68,6452600.0,1.33,,,,,,,,,182600.0,-94.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,3536.4,3607.128,3394.944,True,Eligible,3564.9,3450.2,3460.1,EOD EXIT,Neither target nor stop reached; exited at close,3460.1,76.30000000000018,2.157561361836901
FORCEMOT,17100.0,-0.33,268275.0,1.76,,,,,,,,,9025.0,-94.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,17100.0,17442.0,16416.0,True,Eligible,17507.0,17138.0,17195.0,STOP LOSS HIT,Stop loss breached during replay range,17442.0,-342.0,-2.0
CUMMINSIND,5555.5,-2.0,3568600.0,2.36,,,,,,,,,125000.0,-89.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,5555.5,5666.61,5333.28,True,Eligible,5592.0,5416.5,5466.0,EOD EXIT,Neither target nor stop reached; exited at close,5466.0,89.5,1.6110161101611016
