Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
FOCIT,6.88,36573.0,36600.0,36573.0,36592.0,973.0,2.73,11.93,90.86,-3.0,-17.65,0.91,85.05,-40.0,-41.67,8.0,7.77,48.0,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-28.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,7.58,3579.0,3630.9,3579.0,3627.9,64.5,1.81,1.31,4.0,-195.0,-0.9,0.01,1.59,63.0,0.85,71.0,1.52,8.0,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-28.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,,,,,,-2.45,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,308.0,-0.79,21828.0,159.0,0.73,0.71,300.0,575.0,8.0,775.0,9.0,2.67,SB,,,,,,,,,,,,,,,,,
LAURUSLABS,,,,,,12.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1735.1,0.71,19557.0,219.0,1.13,0.74,1700.0,1200.0,-19.0,776.0,14.0,2.06,LB,,,,,,,,,,,,,,,,,
HCLTECH,,,,,,30.3,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1326.5,2.34,70969.0,61.0,0.09,0.84,1300.0,1202.0,-15.0,911.0,176.0,2.04,LB,,,,,,,,,,,,,,,,,
MPHASIS,,,,,,98.9,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2447.7,4.21,15511.0,315.0,2.07,0.65,2400.0,538.0,-6.0,160.0,122.0,1.99,LB,,,,,,,,,,,,,,,,,
M&M,,,,,,1.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,3251.6,0.04,68283.0,254.0,0.37,0.91,3200.0,2896.0,2.0,2948.0,54.0,1.61,LB,,,,,,,,,,,,,,,,,
TECHM,,,,,,47.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1625.6,2.99,28374.0,235.0,0.84,0.5,1600.0,3187.0,58.0,399.0,27.0,1.6,LB,,,,,,,,,,,,,,,,,
ASIANPAINT,,,,,,15.1,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2740.8,0.55,28205.0,166.0,0.59,0.73,2700.0,1181.0,10.0,465.0,52.0,1.51,LB,,,,,,,,,,,,,,,,,
VEDL,,,,,,-2.7,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,263.85,-1.01,35416.0,447.0,1.28,0.77,260.0,2602.0,39.0,2695.0,3.0,1.48,SB,,,,,,,,,,,,,,,,,
LTM,,,,,,142.4,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,4360.0,3.38,20375.0,341.0,1.7,0.72,4300.0,480.0,266.0,110.0,68.0,1.4,LB,,,,,,,,,,,,,,,,,
TITAN,,,,,,5.3,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,4762.8,0.11,28967.0,201.0,0.7,0.83,4700.0,984.0,-11.0,678.0,48.0,1.34,LB,,,,,,,,,,,,,,,,,
PIIND,,,,,,-3.7,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2734.3,-0.14,14947.0,18.0,0.12,0.76,2700.0,704.0,0.0,421.0,0.0,1.27,SB,,,,,,,,,,,,,,,,,
BAJAJFINSV,,,,,,-1.4,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1923.0,-0.07,28287.0,120.0,0.43,0.82,1900.0,1116.0,9.0,705.0,-2.0,1.21,SB,,,,,,,,,,,,,,,,,
