Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Price,Price Chg%,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price chg (%),Volume chg (%),OI chg (%),Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg (%)
FOCIT,6.88,36573.0,36600.0,36573.0,36592.0,973.0,2.73,11.93,90.86,-3.0,-17.65,0.91,85.05,-40.0,-41.67,8.0,7.77,48.0,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-28.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,7.58,3579.0,3630.9,3579.0,3627.9,64.5,1.81,1.31,4.0,-195.0,-0.9,0.01,1.59,63.0,0.85,71.0,1.52,8.0,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-28.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,Symbol,Price,Price Chg,Price Chg (%),Total OI,Total OI Chg,Total OI Chg (%),PCR,IV,IV Chg (%),IV Range (1Yr),HV (10/20/30 Days),IVR,IVP,IV/HV10 %,IV/HV20 %,IV/HV30 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,360ONE,1132.3,-4.3,-0.38,3782000,8500,0.23,0.31,32.47,0.9,12.77 - 60.46,36.54 / 41.48 / 36.93,42.31,69.92,-11.14,-21.72,-12.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ABB,7234.5,-101,-1.38,1944250,31875,1.67,0.68,35.58,0.42,12.82 - 55.54,52.01 / 42.29 / 38.24,53.35,89.02,-31.59,-15.87,-6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ABCAPITAL,394.45,-7.8,-1.94,30975200,378200,1.24,0.95,33.76,0.63,17.61 - 49.88,30.12 / 37.97 / 38.53,50.57,74.8,12.08,-11.09,-12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ADANIENSOL,1678.8,-32.1,-1.88,17415000,290925,1.7,0.52,37.67,0.53,15.92 - 70.07,28.21 / 29.90 / 30.03,40.87,57.72,33.53,25.99,25.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ADANIENT,3024.1,-34.8,-1.14,14533197,208266,1.45,0.65,35.61,0.76,13.70 - 64.83,29.17 / 35.22 / 35.60,42.85,71.95,22.08,1.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ADANIGREEN,1390,-18.3,-1.3,22534200,406800,1.84,0.49,40.49,-0.17,15.79 - 97.29,57.49 / 47.40 / 42.99,30.13,54.47,-29.57,-14.58,-5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ADANIPORTS,1778,-4.4,-0.25,17331800,141550,0.82,0.73,27.61,0.58,12.26 - 48.61,18.20 / 24.94 / 23.74,42.23,73.17,51.7,10.71,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ADANIPOWER,211.35,-3.96,-1.84,129344250,2161950,1.7,0.74,36.6,1.89,22.32 - 78.01,45.59 / 34.24 / 33.69,25.5,6.33,-19.72,6.89,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
