Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
COFORGE,1660.6,8.64,15181475.0,8.31,,,,,,,,,4140100.0,-41.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BEL,393.85,-3.55,83034750.0,6.11,,,,,,,,,9100050.0,-68.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TATAPOWER,374.55,-1.23,41913700.0,5.48,,,,,,,,,4147000.0,-68.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
GODFRYPHLP,2059.2,-5.32,1515800.0,-1.36,,,,,,,,,451825.0,-72.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
INFY,1111.8,2.62,92652000.0,3.13,,,,,,,,,8764800.0,-76.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
LTM,4360.0,3.38,3056250.0,1.7,,,,,,,,,250500.0,-80.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
GVT&D,4105.2,-2.8,2453625.0,3.54,,,,,,,,,219125.0,-81.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
FOCIT,36592.0,2.73,630.0,-17.65,,,,,,,,,135.0,-82.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NATIONALUM,336.45,-1.41,37018125.0,4.68,,,,,,,,,1942500.0,-83.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
RADICO,4135.0,-1.03,630000.0,-0.47,,,,,,,,,81450.0,-84.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
LODHA,1200.35,3.77,13737500.0,1.1,,,,,,,,,1218125.0,-84.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
MPHASIS,2447.7,4.21,4265525.0,2.07,,,,,,,,,280500.0,-85.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
COALINDIA,412.0,-3.25,61412850.0,2.81,,,,,,,,,3782700.0,-85.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
CGPOWER,852.6,-3.45,16947300.0,2.69,,,,,,,,,1132200.0,-86.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ITC,289.15,0.47,135120975.0,2.49,,,,,,,,,5680425.0,-86.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ABCAPITAL,394.45,-1.94,30975200.0,1.24,,,,,,,,,1413600.0,-86.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
DABUR,433.05,0.87,26815000.0,2.67,,,,,,,,,1060000.0,-87.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PERSISTENT,5475.0,3.55,3519500.0,1.55,,,,,,,,,202875.0,-87.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SENSEX,77241.2,-0.15,23220.0,1.84,,,,,,,,,1000.0,-88.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ABB,7234.5,-1.38,1944250.0,1.67,,,,,,,,,112375.0,-88.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
KPITTECH,592.6,1.31,11001125.0,3.31,,,,,,,,,898225.0,-88.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NIFTY,24084.1,-0.07,10312965.0,1.14,,,,,,,,,401115.0,-88.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BANKNIFTY,57125.0,-0.47,1698150.0,1.63,,,,,,,,,73500.0,-88.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SUZLON,52.25,-1.99,366306100.0,1.9,,,,,,,,,12458700.0,-88.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
CDSL,1333.5,0.14,7837975.0,2.27,,,,,,,,,370025.0,-88.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
OFSS,11405.0,2.42,1169500.0,-0.32,,,,,,,,,74000.0,-89.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
POWERINDIA,31015.0,-2.35,457000.0,1.75,,,,,,,,,21675.0,-89.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
IEX,130.51,2.22,56811000.0,0.55,,,,,,,,,4102050.0,-89.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TECHM,1625.6,2.99,17024400.0,0.84,,,,,,,,,808800.0,-89.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TCS,2376.0,3.0,33427575.0,1.26,,,,,,,,,1332225.0,-89.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
CUMMINSIND,5555.5,-2.0,3568600.0,2.36,,,,,,,,,125000.0,-89.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HINDUNILVR,2205.0,0.86,15872100.0,1.65,,,,,,,,,615000.0,-90.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ADANIENSOL,1678.8,-1.88,17415000.0,1.7,,,,,,,,,691200.0,-90.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HDFCBANK,741.6,-0.42,274278550.0,1.42,,,,,,,,,6054100.0,-90.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
JSWSTEEL,1250.7,0.02,37914750.0,1.45,,,,,,,,,639900.0,-90.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PAYTM,1310.7,0.75,18978325.0,2.61,,,,,,,,,936700.0,-90.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BANKBARODA,241.5,-1.71,116388675.0,0.64,,,,,,,,,4168125.0,-90.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
WAAREEENER,2756.6,0.69,6588575.0,-0.53,,,,,,,,,231525.0,-91.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TMPV,326.4,-0.99,62672000.0,2.94,,,,,,,,,2169600.0,-91.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
CIPLA,1446.5,2.31,9595225.0,0.56,,,,,,,,,286450.0,-91.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TATAELXSI,3641.2,2.18,2688875.0,-1.04,,,,,,,,,132625.0,-91.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HINDALCO,942.25,-0.97,45892000.0,0.91,,,,,,,,,832300.0,-91.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TORNTPHARM,5013.2,0.38,4533125.0,0.07,,,,,,,,,132000.0,-91.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
GODREJPROP,2111.1,1.58,5836675.0,1.14,,,,,,,,,167050.0,-92.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
DLF,658.45,0.8,40624850.0,0.91,,,,,,,,,940500.0,-92.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
RELIANCE,1281.6,-0.38,89513000.0,2.04,,,,,,,,,2231000.0,-92.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HINDPETRO,398.45,0.48,38794950.0,0.9,,,,,,,,,816075.0,-92.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SUPREMEIND,3312.1,-0.96,1974875.0,0.61,,,,,,,,,68075.0,-92.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
WIPRO,178.15,1.63,276711000.0,-0.52,,,,,,,,,8256000.0,-92.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NAUKRI,1231.0,2.51,13795650.0,1.24,,,,,,,,,459800.0,-92.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ADANIGREEN,1390.0,-1.3,22534200.0,1.84,,,,,,,,,636600.0,-92.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SWIGGY,265.25,2.43,44581100.0,0.8,,,,,,,,,2208250.0,-92.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SIEMENS,3604.9,-2.13,3361750.0,1.22,,,,,,,,,78925.0,-92.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
KALYANKJIL,571.85,0.78,22141350.0,-0.8,,,,,,,,,1069200.0,-92.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
LT,3826.0,-0.07,11008025.0,2.07,,,,,,,,,370475.0,-92.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
MIDCPNIFTY,14637.75,-0.06,1534560.0,0.73,,,,,,,,,30720.0,-92.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
JUBLFOOD,432.8,1.18,16678750.0,-0.64,,,,,,,,,647500.0,-92.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PNBHOUSING,1073.8,-0.22,6561750.0,0.24,,,,,,,,,235950.0,-92.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NTPC,349.15,-0.71,90846000.0,3.1,,,,,,,,,3432000.0,-92.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BDL,1221.3,-0.28,6596000.0,1.52,,,,,,,,,241825.0,-93.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ADANIENT,3024.1,-1.14,14533197.0,1.45,,,,,,,,,383469.0,-93.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
CHOLAFIN,1798.0,-0.04,11743125.0,2.0,,,,,,,,,383125.0,-93.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HCLTECH,1326.5,2.34,28387600.0,0.09,,,,,,,,,935600.0,-93.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
VBL,468.05,0.45,46212375.0,1.4,,,,,,,,,1110525.0,-93.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
MUTHOOTFIN,3006.5,-1.31,5840725.0,0.79,,,,,,,,,129250.0,-93.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
CANBK,126.25,-1.62,364945500.0,1.15,,,,,,,,,9949500.0,-93.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
JIOFIN,236.57,-0.22,147305050.0,1.02,,,,,,,,,2843500.0,-93.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SHRIRAMFIN,1044.9,0.18,26726700.0,0.92,,,,,,,,,833250.0,-93.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
VOLTAS,1313.6,-1.02,6732000.0,1.5,,,,,,,,,150750.0,-93.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BHEL,408.5,-2.48,72809625.0,0.99,,,,,,,,,1832250.0,-93.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ADANIPOWER,211.35,-1.84,129344250.0,1.7,,,,,,,,,3003300.0,-93.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ETERNAL,299.0,0.84,145495150.0,1.72,,,,,,,,,4289825.0,-94.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HAL,4581.0,-1.29,4547100.0,0.71,,,,,,,,,110250.0,-94.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
LTF,308.0,-0.79,49113000.0,0.73,,,,,,,,,1134000.0,-94.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
INOXWIND,78.25,-0.62,83200000.0,1.33,,,,,,,,,1670400.0,-94.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
RBLBANK,367.1,0.88,39544625.0,1.66,,,,,,,,,1203325.0,-94.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PGEL,582.15,-0.21,8720050.0,1.52,,,,,,,,,291650.0,-94.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
INDUSTOWER,390.1,0.03,80719400.0,0.91,,,,,,,,,1504500.0,-94.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SOLARINDS,18393.0,-1.87,696700.0,1.44,,,,,,,,,15300.0,-94.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TITAN,4762.8,0.11,5069225.0,0.7,,,,,,,,,98700.0,-94.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BSE,3536.4,-0.68,6452600.0,1.33,,,,,,,,,182600.0,-94.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
FORCEMOT,17100.0,-0.33,268275.0,1.76,,,,,,,,,9025.0,-94.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BANDHANBNK,166.64,-1.18,116269200.0,0.73,,,,,,,,,1807200.0,-94.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
JINDALSTEL,1062.7,-0.65,10683750.0,1.76,,,,,,,,,303125.0,-94.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
DRREDDY,1144.9,-0.3,12960000.0,1.25,,,,,,,,,321875.0,-94.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
LAURUSLABS,1735.1,0.71,16623450.0,1.13,,,,,,,,,678300.0,-94.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TATASTEEL,184.5,-0.51,139675250.0,0.94,,,,,,,,,2070750.0,-94.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NIFTYNXT50,72430.0,-0.35,11100.0,0.23,,,,,,,,,350.0,-94.72,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ASTRAL,1425.5,-0.34,7067750.0,-0.08,,,,,,,,,172550.0,-94.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BIOCON,437.85,-0.3,42180000.0,0.8,,,,,,,,,757500.0,-94.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
YESBANK,22.98,-0.52,896861800.0,1.27,,,,,,,,,16296400.0,-95.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
COLPAL,2177.7,1.34,3825800.0,0.25,,,,,,,,,87450.0,-95.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BRITANNIA,5377.5,0.99,1929875.0,-0.02,,,,,,,,,38750.0,-95.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HDFCLIFE,556.5,-0.03,37001800.0,0.98,,,,,,,,,523600.0,-95.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
MFSL,1518.9,0.02,7965600.0,1.16,,,,,,,,,154800.0,-95.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HEROMOTOCO,5156.3,0.32,4450650.0,0.46,,,,,,,,,88350.0,-95.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
AUROPHARMA,1557.3,-0.08,9163550.0,0.98,,,,,,,,,140250.0,-95.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ASHOKLEY,155.82,-0.2,126355000.0,0.95,,,,,,,,,2680000.0,-95.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ADANIPORTS,1778.0,-0.25,17331800.0,0.82,,,,,,,,,234650.0,-95.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
DELHIVERY,472.6,0.4,20833000.0,1.05,,,,,,,,,504225.0,-95.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ANGELONE,305.05,-0.51,22585000.0,0.98,,,,,,,,,510000.0,-95.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
POWERGRID,286.5,-0.92,38851200.0,0.76,,,,,,,,,661200.0,-95.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
