Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern
COFORGE,1660.6,8.64,15181475.0,8.31,,,,,,,,,4140100.0,-41.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
INFY,1111.8,2.62,92652000.0,3.13,,,,,,,,,8764800.0,-76.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
KPITTECH,592.6,1.31,11001125.0,3.31,,,,,,,,,898225.0,-88.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
MPHASIS,2447.7,4.21,4265525.0,2.07,,,,,,,,,280500.0,-85.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
LODHA,1200.35,3.77,13737500.0,1.1,,,,,,,,,1218125.0,-84.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
ITC,289.15,0.47,135120975.0,2.49,,,,,,,,,5680425.0,-86.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup
LTM,4360.0,3.38,3056250.0,1.7,,,,,,,,,250500.0,-80.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
DABUR,433.05,0.87,26815000.0,2.67,,,,,,,,,1060000.0,-87.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup
PERSISTENT,5475.0,3.55,3519500.0,1.55,,,,,,,,,202875.0,-87.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
TATAELXSI,3641.2,2.18,2688875.0,-1.04,,,,,,,,,132625.0,-91.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering
RELIANCE,1281.6,-0.38,89513000.0,2.04,,,,,,,,,2231000.0,-92.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup
GODREJPROP,2111.1,1.58,5836675.0,1.14,,,,,,,,,167050.0,-92.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
LT,3826.0,-0.07,11008025.0,2.07,,,,,,,,,370475.0,-92.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup
SWIGGY,265.25,2.43,44581100.0,0.8,,,,,,,,,2208250.0,-92.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
NAUKRI,1231.0,2.51,13795650.0,1.24,,,,,,,,,459800.0,-92.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
WIPRO,178.15,1.63,276711000.0,-0.52,,,,,,,,,8256000.0,-92.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering
PAYTM,1310.7,0.75,18978325.0,2.61,,,,,,,,,936700.0,-90.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup
CIPLA,1446.5,2.31,9595225.0,0.56,,,,,,,,,286450.0,-91.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
TMPV,326.4,-0.99,62672000.0,2.94,,,,,,,,,2169600.0,-91.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup
TCS,2376.0,3.0,33427575.0,1.26,,,,,,,,,1332225.0,-89.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
TECHM,1625.6,2.99,17024400.0,0.84,,,,,,,,,808800.0,-89.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
IEX,130.51,2.22,56811000.0,0.55,,,,,,,,,4102050.0,-89.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
OFSS,11405.0,2.42,1169500.0,-0.32,,,,,,,,,74000.0,-89.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering
CDSL,1333.5,0.14,7837975.0,2.27,,,,,,,,,370025.0,-88.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup
NTPC,349.15,-0.71,90846000.0,3.1,,,,,,,,,3432000.0,-92.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup
HCLTECH,1326.5,2.34,28387600.0,0.09,,,,,,,,,935600.0,-93.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
JUBLFOOD,432.8,1.18,16678750.0,-0.64,,,,,,,,,647500.0,-92.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering
GODREJCP,1087.2,1.03,9512500.0,0.34,,,,,,,,,126000.0,-96.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
CONCOR,520.75,1.74,18402500.0,0.93,,,,,,,,,767500.0,-95.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
SBICARD,657.0,2.15,21382400.0,0.22,,,,,,,,,406400.0,-95.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
NESTLEIND,1473.1,1.2,10300500.0,0.09,,,,,,,,,221000.0,-95.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
COLPAL,2177.7,1.34,3825800.0,0.25,,,,,,,,,87450.0,-95.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
FOCIT,36592.0,2.73,630.0,-17.65,,,,,,,,,135.0,-82.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,10,SELL,Positive Price Momentum; OI Reduction,Short Covering
RADICO,4135.0,-1.03,630000.0,-0.47,,,,,,,,,81450.0,-84.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding
BEL,393.85,-3.55,83034750.0,6.11,,,,,,,,,9100050.0,-68.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup
NATIONALUM,336.45,-1.41,37018125.0,4.68,,,,,,,,,1942500.0,-83.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup
SENSEX,77241.2,-0.15,23220.0,1.84,,,,,,,,,1000.0,-88.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
COALINDIA,412.0,-3.25,61412850.0,2.81,,,,,,,,,3782700.0,-85.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup
NIFTY,24084.1,-0.07,10312965.0,1.14,,,,,,,,,401115.0,-88.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
ABB,7234.5,-1.38,1944250.0,1.67,,,,,,,,,112375.0,-88.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
SUZLON,52.25,-1.99,366306100.0,1.9,,,,,,,,,12458700.0,-88.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
BANKNIFTY,57125.0,-0.47,1698150.0,1.63,,,,,,,,,73500.0,-88.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
BANKBARODA,241.5,-1.71,116388675.0,0.64,,,,,,,,,4168125.0,-90.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
JSWSTEEL,1250.7,0.02,37914750.0,1.45,,,,,,,,,639900.0,-90.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
ADANIENSOL,1678.8,-1.88,17415000.0,1.7,,,,,,,,,691200.0,-90.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
WAAREEENER,2756.6,0.69,6588575.0,-0.53,,,,,,,,,231525.0,-91.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Covering
HDFCBANK,741.6,-0.42,274278550.0,1.42,,,,,,,,,6054100.0,-90.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
HINDALCO,942.25,-0.97,45892000.0,0.91,,,,,,,,,832300.0,-91.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
SUPREMEIND,3312.1,-0.96,1974875.0,0.61,,,,,,,,,68075.0,-92.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
HINDPETRO,398.45,0.48,38794950.0,0.9,,,,,,,,,816075.0,-92.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
DLF,658.45,0.8,40624850.0,0.91,,,,,,,,,940500.0,-92.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
GVT&D,4105.2,-2.8,2453625.0,3.54,,,,,,,,,219125.0,-81.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup
GODFRYPHLP,2059.2,-5.32,1515800.0,-1.36,,,,,,,,,451825.0,-72.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding
TATAPOWER,374.55,-1.23,41913700.0,5.48,,,,,,,,,4147000.0,-68.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup
CGPOWER,852.6,-3.45,16947300.0,2.69,,,,,,,,,1132200.0,-86.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup
ABCAPITAL,394.45,-1.94,30975200.0,1.24,,,,,,,,,1413600.0,-86.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
MIDCPNIFTY,14637.75,-0.06,1534560.0,0.73,,,,,,,,,30720.0,-92.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
