Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg %,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI chg,OI Chg (Value),Volume,Volume Chg %
360ONE,5.59,1131.5,1131.5,1120.0,1129.0,-4.1,-0.36,-8.27,-25.27,42,0.49,0.0,0.0,14,0.89,7.0,1.03,-7,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,8.1,7230.0,7306.5,7135.0,7139.5,-135.5,-1.86,1.68,4.73,227,1.39,-0.01,-1.41,331,7.54,180.0,5.8,-151,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,7.24,396.45,399.35,392.5,392.5,-0.1,-0.03,-0.04,-0.12,59,0.55,0.0,0.0,24,1.31,24.0,1.47,0,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,6.63,1652.0,1675.9,1650.1,1662.0,5.8,0.35,-0.08,-0.26,110,0.37,0.0,0.0,58,1.25,54.0,2.29,-4,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,7.07,3030.0,3047.7,3011.4,3034.0,18.4,0.61,-0.66,-2.01,93,0.17,0.02,2.5,371,3.57,491.0,5.89,120,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,8.39,1390.0,1396.5,1378.4,1383.0,-0.5,-0.04,-0.86,-2.21,115,0.26,0.0,0.0,203,1.9,72.0,1.14,-131,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,5.87,1803.3,1803.3,1778.0,1779.3,-6.1,-0.34,0.96,3.7,169,0.41,-0.06,-7.32,752,9.89,147.0,2.36,-605,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,7.72,210.0,211.3,209.23,209.41,0.05,0.02,1.64,4.86,-36,-0.08,-0.01,-1.33,229,3.29,121.0,2.32,-108,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,6.05,5705.0,5732.5,5687.0,5710.0,36.5,0.64,1.53,5.79,12,0.11,-0.03,-7.69,50,11.85,2.0,1.2,-48,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,7.81,7251.0,7387.5,7250.0,7337.0,96.5,1.33,-1.13,-3.05,12,0.09,-0.15,-14.15,1019,19.04,135.0,2.39,-884,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,5.37,428.5,435.15,425.8,434.1,5.45,1.27,-0.84,-3.24,441,0.66,-0.02,-2.35,326,4.37,150.0,2.37,-176,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,7.73,306.0,306.95,300.5,301.0,-3.05,-1,0.18,0.51,-16,-0.15,-0.02,-3.23,219,5.03,75.0,2.8,-144,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
