Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,,20.4,20.4,20.4,20.4,20.4,,,,,,,,,,-95.14,-95.14,UNKNOWN,Sector_Summary_25AUG26_Report_29_7_2026.xlsx
FOCIT,37190,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,6930,1.99,1.99,1.99,1.99,1.99,,,,,,,,,675,-46.43,-46.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
SENSEX,77500,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,24500,-6.56,-6.56,-6.56,-6.56,-6.56,,,,,,,,,4700,-50.84,-50.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
PHOENIXLTD,"1,946.1",-4.45,-4.45,-4.45,-4.45,-4.45,-4.45,-4.45,-4.45,-4.45,-4.45,-4.45,3426500,2.21,2.21,2.21,2.21,2.21,,,,,,,,,273700,-58.2,-58.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LT,3965,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,12765375,0.78,0.78,0.78,0.78,0.78,,,,,,,,,1021475,-74.75,-74.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
KALYANKJIL,613.75,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,25532550,1.89,1.89,1.89,1.89,1.89,,,,,,,,,1998000,-86.73,-86.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
SWIGGY,275.65,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,55313925,2.45,2.45,2.45,2.45,2.45,,,,,,,,,4748650,-86.76,-86.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
CHOLAFIN,"1,825.9",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,13131250,1.6,1.6,1.6,1.6,1.6,,,,,,,,,1251250,-86.98,-86.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
KPITTECH,611.3,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,11907100,2.42,2.42,2.42,2.42,2.42,,,,,,,,,893575,-87.39,-87.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
TVSMOTOR,"4,062.2",1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,11707500,0.45,0.45,0.45,0.45,0.45,,,,,,,,,155750,-88.24,-88.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
NIFTY,"24,262.7",0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,13579345,0.06,0.06,0.06,0.06,0.06,,,,,,,,,618670,-88.25,-88.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
RADICO,4375,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,847500,1,1,1,1,1,,,,,,,,,180900,-88.41,-88.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ETERNAL,309.95,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,155049650,1.13,1.13,1.13,1.13,1.13,,,,,,,,,5742400,-89.17,-89.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LUPIN,2434,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,5406850,0.74,0.74,0.74,0.74,0.74,,,,,,,,,103275,-89.33,-89.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
INFY,1141,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,96819600,0.61,0.61,0.61,0.61,0.61,,,,,,,,,3236400,-91.31,-91.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
SUZLON,48.73,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,444106300,0.87,0.87,0.87,0.87,0.87,,,,,,,,,17995900,-91.46,-91.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BAJFINANCE,"1,067.2",1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,65808750,0.14,0.14,0.14,0.14,0.14,,,,,,,,,775500,-92.06,-92.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
TCS,2439,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,34258500,0.22,0.22,0.22,0.22,0.22,,,,,,,,,682200,-92.12,-92.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
OFSS,11615,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1296600,-0.07,-0.07,-0.07,-0.07,-0.07,,,,,,,,,39400,-92.25,-92.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
TECHM,1653,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,17665800,0.54,0.54,0.54,0.54,0.54,,,,,,,,,376800,-92.36,-92.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BPCL,318.8,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,38153050,0.37,0.37,0.37,0.37,0.37,,,,,,,,,436475,-93.08,-93.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
