Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
HYUNDAI,2148.2,6.85,4218225.0,4.16,,,,,,,,,764500.0,-59.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:6.85|OI:4.16|VOL:-59.88|FUT:nan,PDNA_4B168812,75,HIGH,BUY,VALID BUY,MEDIUM,2148.2,2105.236,2234.128,True,Eligible,2197.6,2075.1,2164.2,STOP LOSS HIT,Stop loss breached during replay range,2105.236,-42.96399999999994,-1.9999999999999976
KAYNES,3694.0,1.6,3795750.0,0.0,,,,,,,,,36750.0,-97.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Neutral,PAT:Neutral|SCR:|P:1.6|OI:0.0|VOL:-97.02|FUT:nan,PDNA_184B61D3,35,LOW,SELL,VALID SELL,HIGH,3694.0,3767.88,3546.24,True,Eligible,3877.0,3635.0,3821.4,STOP LOSS HIT,Stop loss breached during replay range,3767.88,-73.88000000000011,-2.0000000000000027
NAM-INDIA,1148.3,0.44,7059375.0,0.0,,,,,,,,,7500.0,-98.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.44|OI:0.0|VOL:-98.01|FUT:nan,PDNA_5D687B29,35,LOW,SELL,VALID SELL,HIGH,1148.3,1171.266,1102.368,True,Eligible,1166.7,1133.0,1159.0,EOD EXIT,Neither target nor stop reached; exited at close,1159.0,-10.700000000000045,-0.9318122441870632
BHARTIARTL,1965.9,0.21,56177775.0,0.0,,,,,,,,,128250.0,-95.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.21|OI:0.0|VOL:-95.92|FUT:nan,PDNA_358074CF,35,LOW,SELL,VALID SELL,HIGH,1965.9,2005.218,1887.264,True,Eligible,1981.5,1953.1,1976.5,EOD EXIT,Neither target nor stop reached; exited at close,1976.5,-10.599999999999909,-0.5391932448242489
NESTLEIND,1524.0,0.0,8897500.0,0.38,,,,,,,,,73500.0,-96.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.0|OI:0.38|VOL:-96.01|FUT:nan,PDNA_D408DF61,35,LOW,SELL,VALID SELL,HIGH,1524.0,1554.48,1463.04,True,Eligible,1531.6,1500.0,1511.8,EOD EXIT,Neither target nor stop reached; exited at close,1511.8,12.200000000000045,0.800524934383205
KOTAKBANK,391.2,0.14,178122000.0,0.0,,,,,,,,,304000.0,-94.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.14|OI:0.0|VOL:-94.8|FUT:nan,PDNA_14266F50,35,LOW,SELL,VALID SELL,HIGH,391.2,399.024,375.552,True,Eligible,392.8,389.9,391.2,EOD EXIT,Neither target nor stop reached; exited at close,391.2,0.0,0.0
CAMS,791.0,-0.53,6709725.0,0.0,,,,,,,,,12375.0,-98.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:-0.53|OI:0.0|VOL:-98.75|FUT:nan,PDNA_BD33B9B4,35,LOW,SELL,VALID SELL,HIGH,791.0,806.82,759.36,True,Eligible,809.25,790.0,798.25,STOP LOSS HIT,Stop loss breached during replay range,806.82,-15.82000000000005,-2.000000000000006
LICI,418.95,0.31,18881800.0,0.0,,,,,,,,,40600.0,-97.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.31|OI:0.0|VOL:-97.81|FUT:nan,PDNA_16443BD7,35,LOW,SELL,VALID SELL,HIGH,418.95,427.329,402.192,True,Eligible,425.35,417.8,423.1,EOD EXIT,Neither target nor stop reached; exited at close,423.1,-4.150000000000034,-0.9905716672634047
COALINDIA,414.0,0.0,81174150.0,-0.08,,,,,,,,,253800.0,-98.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.0|OI:-0.08|VOL:-98.08|FUT:nan,PDNA_692CD52D,35,LOW,SELL,VALID SELL,HIGH,414.0,422.28,397.44,True,Eligible,416.4,412.0,415.35,EOD EXIT,Neither target nor stop reached; exited at close,415.35,-1.3500000000000227,-0.32608695652174463
MAXHEALTH,1133.0,0.32,9543450.0,0.0,,,,,,,,,17325.0,-97.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.32|OI:0.0|VOL:-97.86|FUT:nan,PDNA_6FE29DD7,35,LOW,SELL,VALID SELL,HIGH,1133.0,1155.66,1087.68,True,Eligible,1134.8,1095.6,1104.0,EOD EXIT,Neither target nor stop reached; exited at close,1104.0,29.0,2.559576345984113
