Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-2.76,-2.76,-2.76,-2.76,-2.76,,0.79,0.79,,,,,,,,,,-85.53,-85.53,UNKNOWN,Sector_Summary_25AUG26_Report_31_7_2026.xlsx
FOCIT,37350,-0.28,-0.28,-0.28,-0.28,-0.28,675,7.14,7.14,,,,,,,,,0,-100.0,-100.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
PAGEIND,41045,0.17,0.17,0.17,0.17,0.17,239980,0.02,0.02,,,,,,,,,140,-99.83,-99.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
COCHINSHIP,"1,411.7",0.33,0.33,0.33,0.33,0.33,5708000,0.02,0.02,,,,,,,,,1600,-99.8,-99.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
DALBHARAT,"1,811.5",0.66,0.66,0.66,0.66,0.66,3796650,-0.01,-0.01,,,,,,,,,1625,-99.38,-99.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
PHOENIXLTD,"1,893.4",-0.17,-0.17,-0.17,-0.17,-0.17,3530100,0.05,0.05,,,,,,,,,2450,-99.29,-99.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BIOCON,427.5,0.12,0.12,0.12,0.12,0.12,47272500,0.04,0.04,,,,,,,,,67500,-99.23,-99.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
VBL,450,-0.44,-0.44,-0.44,-0.44,-0.44,52612875,0.01,0.01,,,,,,,,,47175,-99.2,-99.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
PREMIERENE,987.3,0.07,0.07,0.07,0.07,0.07,7824700,0.18,0.18,,,,,,,,,26000,-99.17,-99.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
RADICO,4370,-0.34,-0.34,-0.34,-0.34,-0.34,756150,0.12,0.12,,,,,,,,,2700,-99.11,-99.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
