Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID
HYUNDAI,2148.2,6.85,4218225.0,4.16,,,,,,,,,764500.0,-59.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:6.85|OI:4.16|VOL:-59.88|FUT:nan,PDNA_4B168812
FOCIT,37350.0,-0.28,675.0,7.14,,,,,,,,,0.0,-100.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup,PAT:Short Buildup|SCR:|P:-0.28|OI:7.14|VOL:-100.0|FUT:nan,PDNA_21B0337B
KAYNES,3694.0,1.6,3795750.0,0.0,,,,,,,,,36750.0,-97.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Neutral,PAT:Neutral|SCR:|P:1.6|OI:0.0|VOL:-97.02|FUT:nan,PDNA_184B61D3
MOTILALOFS,853.0,1.37,6883550.0,-0.21,,,,,,,,,37200.0,-96.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.37|OI:-0.21|VOL:-96.52|FUT:nan,PDNA_D4938464
DIVISLAB,8085.0,2.88,3552800.0,0.9,,,,,,,,,103100.0,-83.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.88|OI:0.9|VOL:-83.5|FUT:nan,PDNA_7D7A1045
GVT&D,4364.2,3.52,3147625.0,1.09,,,,,,,,,186125.0,-82.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.52|OI:1.09|VOL:-82.01|FUT:nan,PDNA_E8CF5506
SHRIRAMFIN,1045.7,1.54,27115275.0,0.21,,,,,,,,,425700.0,-84.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.54|OI:0.21|VOL:-84.55|FUT:nan,PDNA_0CAC40F1
ANGELONE,296.9,1.19,26485000.0,0.07,,,,,,,,,272500.0,-97.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.19|OI:0.07|VOL:-97.83|FUT:nan,PDNA_43BA649D
DMART,3929.8,1.25,5094750.0,0.12,,,,,,,,,61350.0,-93.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.25|OI:0.12|VOL:-93.51|FUT:nan,PDNA_45D304F7
CUMMINSIND,5541.0,2.35,3968800.0,0.08,,,,,,,,,126600.0,-73.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.35|OI:0.08|VOL:-73.17|FUT:nan,PDNA_E2C46AA0
NIFTYNXT50,73214.6,0.68,16575.0,2.31,,,,,,,,,800.0,-60.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.68|OI:2.31|VOL:-60.98|FUT:nan,PDNA_922DB027
ABB,7420.0,1.34,2074250.0,1.54,,,,,,,,,123000.0,-70.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.34|OI:1.54|VOL:-70.23|FUT:nan,PDNA_CF0D0BF3
CGPOWER,869.6,3.84,19615450.0,1.73,,,,,,,,,2046800.0,-48.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.84|OI:1.73|VOL:-48.8|FUT:nan,PDNA_47D7C599
POWERINDIA,32425.0,3.17,561550.0,1.42,,,,,,,,,33525.0,-55.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.17|OI:1.42|VOL:-55.46|FUT:nan,PDNA_90500605
BAJAJFINSV,1970.0,2.93,8786100.0,0.27,,,,,,,,,431100.0,-58.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.93|OI:0.27|VOL:-58.65|FUT:nan,PDNA_4BDABFE1
TORNTPHARM,5003.9,2.17,3967000.0,0.01,,,,,,,,,223375.0,-68.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.17|OI:0.01|VOL:-68.96|FUT:nan,PDNA_C704B91C
ADANIPOWER,212.06,1.11,154549250.0,-0.19,,,,,,,,,901700.0,-91.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.11|OI:-0.19|VOL:-91.95|FUT:nan,PDNA_F9D12CFA
GLENMARK,2234.5,1.62,11551125.0,0.03,,,,,,,,,87750.0,-93.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.62|OI:0.03|VOL:-93.1|FUT:nan,PDNA_18EB1898
SENSEX,78282.45,0.22,32920.0,2.36,,,,,,,,,1520.0,-91.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.22|OI:2.36|VOL:-91.99|FUT:nan,PDNA_2B1255B3
