Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
HYUNDAI,2148.2,6.85,4218225.0,4.16,,,,,,,,,764500.0,-59.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
FOCIT,37350.0,-0.28,675.0,7.14,,,,,,,,,0.0,-100.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Fresh OI Buildup
KAYNES,3694.0,1.6,3795750.0,0.0,,,,,,,,,36750.0,-97.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
MOTILALOFS,853.0,1.37,6883550.0,-0.21,,,,,,,,,37200.0,-96.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
DIVISLAB,8085.0,2.88,3552800.0,0.9,,,,,,,,,103100.0,-83.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
GVT&D,4364.2,3.52,3147625.0,1.09,,,,,,,,,186125.0,-82.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
SHRIRAMFIN,1045.7,1.54,27115275.0,0.21,,,,,,,,,425700.0,-84.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
ANGELONE,296.9,1.19,26485000.0,0.07,,,,,,,,,272500.0,-97.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
DMART,3929.8,1.25,5094750.0,0.12,,,,,,,,,61350.0,-93.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
CUMMINSIND,5541.0,2.35,3968800.0,0.08,,,,,,,,,126600.0,-73.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
NIFTYNXT50,73214.6,0.68,16575.0,2.31,,,,,,,,,800.0,-60.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Fresh OI Buildup
ABB,7420.0,1.34,2074250.0,1.54,,,,,,,,,123000.0,-70.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
CGPOWER,869.6,3.84,19615450.0,1.73,,,,,,,,,2046800.0,-48.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
POWERINDIA,32425.0,3.17,561550.0,1.42,,,,,,,,,33525.0,-55.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
BAJAJFINSV,1970.0,2.93,8786100.0,0.27,,,,,,,,,431100.0,-58.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
TORNTPHARM,5003.9,2.17,3967000.0,0.01,,,,,,,,,223375.0,-68.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
