Symbol,Pattern,NTIS Intraday Score,Intraday Probability %,Confidence,Final Bias,Snapshot Time,Signal Strength
HYUNDAI,Fresh Long Buildup,40,75,HIGH,BUY,21:29:14,STABLE
SHRIRAMFIN,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
GVT&D,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
DIVISLAB,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
ANGELONE,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
NIFTYNXT50,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
CUMMINSIND,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
DMART,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
GLENMARK,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
SENSEX,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
M&M,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
ABB,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
CGPOWER,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
POWERINDIA,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
BAJAJFINSV,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
TORNTPHARM,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
SAIL,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
SIEMENS,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
ASHOKLEY,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
KEI,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
LTF,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
HINDALCO,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
AMBUJACEM,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
ABCAPITAL,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
PREMIERENE,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
TIINDIA,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
DELHIVERY,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
BIOCON,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
360ONE,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
BLUESTARCO,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
NBCC,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
BHARATFORG,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
SUZLON,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
NATIONALUM,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
BAJFINANCE,Fresh Long Buildup,20,60,MEDIUM,NEUTRAL,21:29:14,STABLE
KFINTECH,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
ALKEM,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
BPCL,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
SBICARD,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
DIXON,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
TRENT,Fresh Long Buildup,0,60,MEDIUM,NEUTRAL,21:29:14,STABLE
