Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
HYUNDAI,2148.2,6.85,4218225.0,4.16,,,,,,,,,764500.0,-59.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:6.85|OI:4.16|VOL:-59.88|FUT:nan,PDNA_4B168812,75,HIGH,BUY,VALID BUY,MEDIUM,2148.2,2105.236,2234.1279999999997
SHRIRAMFIN,1045.7,1.54,27115275.0,0.21,,,,,,,,,425700.0,-84.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.54|OI:0.21|VOL:-84.55|FUT:nan,PDNA_0CAC40F1,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1045.7,,
GVT&D,4364.2,3.52,3147625.0,1.09,,,,,,,,,186125.0,-82.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.52|OI:1.09|VOL:-82.01|FUT:nan,PDNA_E8CF5506,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4364.2,,
DIVISLAB,8085.0,2.88,3552800.0,0.9,,,,,,,,,103100.0,-83.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.88|OI:0.9|VOL:-83.5|FUT:nan,PDNA_7D7A1045,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,8085.0,,
ANGELONE,296.9,1.19,26485000.0,0.07,,,,,,,,,272500.0,-97.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.19|OI:0.07|VOL:-97.83|FUT:nan,PDNA_43BA649D,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,296.9,,
NIFTYNXT50,73214.6,0.68,16575.0,2.31,,,,,,,,,800.0,-60.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.68|OI:2.31|VOL:-60.98|FUT:nan,PDNA_922DB027,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,73214.6,,
CUMMINSIND,5541.0,2.35,3968800.0,0.08,,,,,,,,,126600.0,-73.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.35|OI:0.08|VOL:-73.17|FUT:nan,PDNA_E2C46AA0,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,5541.0,,
DMART,3929.8,1.25,5094750.0,0.12,,,,,,,,,61350.0,-93.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.25|OI:0.12|VOL:-93.51|FUT:nan,PDNA_45D304F7,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3929.8,,
GLENMARK,2234.5,1.62,11551125.0,0.03,,,,,,,,,87750.0,-93.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.62|OI:0.03|VOL:-93.1|FUT:nan,PDNA_18EB1898,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2234.5,,
SENSEX,78282.45,0.22,32920.0,2.36,,,,,,,,,1520.0,-91.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.22|OI:2.36|VOL:-91.99|FUT:nan,PDNA_2B1255B3,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,78282.45,,
