File,Function_Group,Role,Similar_Files
accuracy_calibration_engine.py,CORE,MASTER_CANDIDATE,"calibration_engine.py,outcome_calibration_engine.py"
adaptive_model_engine.py,CORE,MASTER_CANDIDATE,adaptive_config.py
advanced_statistics_engine.py,CORE,MASTER_CANDIDATE,
alert_notification_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,signal_explanation_manager.py
autonomous_learning_controller.py,LEARNING,MASTER_CANDIDATE,"hmme_autonomous_master_controller.py,production_master_controller.py"
backtest_engine.py,CORE,MASTER_CANDIDATE,
calibration_engine.py,CORE,MASTER_CANDIDATE,"accuracy_calibration_engine.py,calibration_models.py,outcome_calibration_engine.py,probability_fusion_engine.py,signal_explanation_engine.py"
confidence_engine.py,CORE,MASTER_CANDIDATE,"confidence_grading_engine.py,decision_intelligence_engine.py"
confidence_grading_engine.py,CORE,MASTER_CANDIDATE,confidence_engine.py
confidence_history_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"confidence_engine.py,decision_history_analyzer.py"
daily_execution_controller.py,EXECUTION,MASTER_CANDIDATE,"daily_pipeline_controller.py,daily_workflow_controller.py,execution_queue_controller.py,final_execution_controller.py,hmme_activation_controller.py"
daily_pipeline_controller.py,CONTROL,MASTER_CANDIDATE,"daily_execution_controller.py,daily_workflow_controller.py,production_pipeline_controller.py"
daily_workflow_controller.py,CONTROL,MASTER_CANDIDATE,"daily_execution_controller.py,daily_pipeline_controller.py"
decision_intelligence_engine.py,CORE,MASTER_CANDIDATE,"confidence_engine.py,intelligence_fusion_engine.py"
enterprise_intelligence_controller.py,CONTROL,MASTER_CANDIDATE,"enterprise_optimization_controller.py,hmme_enterprise_controller.py"
enterprise_optimization_controller.py,CONTROL,MASTER_CANDIDATE,"enterprise_intelligence_controller.py,hmme_activation_controller.py,hmme_enterprise_controller.py,production_automation_controller.py,runtime_validation_controller.py"
enterprise_reporting_engine.py,CORE,MASTER_CANDIDATE,
execution_benchmark_engine.py,CORE,MASTER_CANDIDATE,
