File,Function_Group,Role,Similar_Files
accuracy_monitoring_governance.py,UNCLASSIFIED,MODULE,
accuracy_tracker.py,UNCLASSIFIED,MODULE,
advanced_backtest_analytics.py,UNCLASSIFIED,MODULE,
alert_notification_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,signal_explanation_manager.py
bhavcopy_loader.py,UNCLASSIFIED,MODULE,
calibration_models.py,UNCLASSIFIED,MODULE,calibration_engine.py
candidate_selector.py,UNCLASSIFIED,MODULE,
confidence_history_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"confidence_engine.py,decision_history_analyzer.py"
configuration_governance.py,UNCLASSIFIED,MODULE,
historical_dataset_loader.py,UNCLASSIFIED,MODULE,"historical_dataset_manager.py,historical_loader.py,historical_memory_builder.py,historical_statistics_builder.py,intraday_snapshot_loader.py"
historical_dataset_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"historical_dataset_loader.py,historical_loader.py,historical_replay_manager.py,historical_statistics_builder.py,intraday_eod_manager.py,learning_dataset_manager.py"
historical_loader.py,UNCLASSIFIED,MODULE,"historical_dataset_loader.py,historical_dataset_manager.py,historical_memory_builder.py,historical_replay_controller.py,historical_replay_manager.py,historical_statistics_builder.py"
historical_performance_analyzer.py,UNCLASSIFIED,MODULE,"learning_performance_analyzer.py,repository_performance_manager.py"
historical_replay_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"historical_dataset_manager.py,historical_loader.py,historical_replay_controller.py,historical_replay_validator.py,historical_similarity_engine.py"
historical_replay_validator.py,UNCLASSIFIED,MODULE,"historical_memory_builder.py,historical_replay_controller.py,historical_replay_manager.py,state_validator.py"
historical_statistics_builder.py,UNCLASSIFIED,MODULE,"historical_dataset_loader.py,historical_loader.py,historical_memory_builder.py"
hmme18_config.py,UNCLASSIFIED,MODULE,"hmme_runtime_config.py,hmme_run_config.py"
hmme41_paths.py,UNCLASSIFIED,MODULE,
hmme_batch_optimizer.py,UNCLASSIFIED,MODULE,"batch_execution_optimizer.py,hmme_batch_runner.py,similarity_optimizer.py"
hmme_data_adapter.py,UNCLASSIFIED,MODULE,"hmme_dataset_runner.py,hmme_data_validator.py"
hmme_data_validator.py,UNCLASSIFIED,MODULE,"hmme_data_adapter.py,hmme_governance_validator.py,hmme_integration_validator.py,hmme_operations_validator.py,hmme_validation_report.py,state_validator.py"
hmme_governance_validator.py,UNCLASSIFIED,MODULE,"hmme_data_validator.py,hmme_integration_validator.py,hmme_operations_validator.py,hmme_performance_monitor.py"
hmme_integration_validator.py,UNCLASSIFIED,MODULE,"hmme_data_validator.py,hmme_governance_validator.py,hmme_master_integration_tester.py,hmme_operations_validator.py"
hmme_master_integration_tester.py,UNCLASSIFIED,MASTER_CANDIDATE,hmme_integration_validator.py
hmme_models.py,UNCLASSIFIED,MODULE,memory_models.py
hmme_operations_validator.py,UNCLASSIFIED,MODULE,"hmme_data_validator.py,hmme_governance_validator.py,hmme_integration_validator.py"
hmme_output_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,hmme_execution_manager.py
hmme_performance_config.py,UNCLASSIFIED,MODULE,"hmme_performance_monitor.py,hmme_runtime_config.py,hmme_run_config.py,model_performance_monitor.py,monthly_performance_engine.py,similarity_performance_config.py,yearly_performance_engine.py"
hmme_performance_monitor.py,UNCLASSIFIED,MODULE,"hmme_governance_validator.py,hmme_memory_monitor.py,hmme_operating_controller.py,hmme_performance_config.py,model_performance_monitor.py,performance_tracker.py,yearly_performance_engine.py"
hmme_runtime_config.py,UNCLASSIFIED,MODULE,"hmme18_config.py,hmme_performance_config.py,hmme_run_config.py"
hmme_run_config.py,UNCLASSIFIED,MODULE,"hmme18_config.py,hmme_performance_config.py,hmme_runner.py,hmme_runtime_config.py,learning_config.py"
intraday_eod_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,historical_dataset_manager.py
intraday_snapshot_loader.py,UNCLASSIFIED,MODULE,
market_state_builder.py,UNCLASSIFIED,MODULE,
model_evaluator.py,UNCLASSIFIED,MODULE,
model_input_builder.py,UNCLASSIFIED,MODULE,
model_performance_monitor.py,UNCLASSIFIED,MODULE,"hmme_performance_config.py,hmme_performance_monitor.py,monthly_performance_engine.py,similarity_performance_config.py,yearly_performance_engine.py"
parameter_control_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,
pattern_performance_tracker.py,UNCLASSIFIED,MODULE,"learning_performance_analyzer.py,performance_tracker.py,repository_performance_manager.py"
performance_tracker.py,UNCLASSIFIED,MODULE,"hmme_performance_monitor.py,pattern_performance_tracker.py,performance_report_manager.py"
probability_adjustment_service.py,UNCLASSIFIED,MODULE,probability_improvement_engine.py
production_access_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"production_decision_monitor.py,production_stability_manager.py,production_workflow_manager.py"
production_health_monitor.py,UNCLASSIFIED,MODULE,"production_automation_controller.py,production_decision_monitor.py,production_master_controller.py,production_monitoring_engine.py,production_pipeline_controller.py,production_stability_manager.py"
production_notification_service.py,UNCLASSIFIED,MODULE,
production_stability_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"production_access_manager.py,production_workflow_manager.py"
ranking_optimizer.py,UNCLASSIFIED,MODULE,
signal_explanation_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"alert_notification_manager.py,historical_replay_manager.py,pipeline_execution_manager.py,signal_explanation_engine.py"
state_validator.py,UNCLASSIFIED,MODULE,"historical_replay_validator.py,hmme_data_validator.py"
__init__.py,UNCLASSIFIED,MODULE,
