original,duplicate
app.py,database.py
app.py,predictor.py
app.py,README.md
app.py,scorer.py
app.py,analyzers\iv_analyzer.py
app.py,analyzers\price_analyzer.py
app.py,analyzers\resistance_analyzer.py
app.py,analyzers\support_analyzer.py
app.py,analyzers\volume_analyzer.py
app.py,EOD_Dashboard\__init__.py
app.py,similarity_core_Old1\__init__.py
app.py,similarity_core_Old1\adapters\__init__.py
similarity_core_Old1\integration\hmme_dataset_importer.py,similarity_core_Old1\integration\hmme_dataset_importer_1.py
app.py,similarity_core_Old1\integration\__init__.py
app.py,similarity_core_Old1\reporting\__init__.py
similarity_core_Old1\Archive\V17_Reports\V17_ACTIVE_MODULE_REVIEW\ARCHIVE_CANDIDATES.txt,similarity_core_Old1\Archive\V17_Reports\V17_ACTIVE_MODULE_REVIEW\MIGRATION_TOOLS.txt
similarity_core_Old1\Archive\V17_Reports\V17_ACTIVE_MODULE_REVIEW\ARCHIVE_CANDIDATES.txt,similarity_core_Old1\Archive\V17_Reports\V17_Archive_Plan\ARCHIVE_MIGRATION_TOOLS.txt
similarity_core_Old1\Archive\V17_Reports\V17_ACTIVE_MODULE_REVIEW\ARCHIVE_CANDIDATES.txt,similarity_core_Old1\Archive\V17_Reports\V17_Classification_Report\ARCHIVE_LIST.txt
similarity_core_Old1\Archive\V17_Reports\V17_Archive_Plan\KEEP_PRODUCTION_CORE.txt,similarity_core_Old1\Archive\V17_Reports\V17_Classification_Report\KEEP_LIST.txt
similarity_core_Old1\Archive\V17_Reports\V17_ACTIVE_MODULE_REVIEW\ARCHIVE_CANDIDATES.txt,similarity_core_Old1\Archive\V17_Reports\V17_Dependency_Report\MIGRATION_ARTIFACTS.txt
similarity_core_Old1\Archive\V17_Reports\V17_Archive_Plan\KEEP_PRODUCTION_CORE.txt,similarity_core_Old1\Archive\V17_Reports\V17_Dependency_Report\MODULE_DEPENDENCIES.txt
similarity_core_Old1\Archive\V17_Reports\V17_Classification_Report\REVIEW_LIST.txt,similarity_core_Old1\Archive\V17_Reports\V17_Dependency_Report\STANDALONE_CANDIDATES.txt
similarity_core_Old1\adapters\calibration_adapter.py,similarity_core_clean\adapters\calibration_adapter.py
similarity_core_Old1\adapters\legacy_engine_adapter.py,similarity_core_clean\adapters\legacy_engine_adapter.py
similarity_core_Old1\adapters\probability_engine_adapter.py,similarity_core_clean\adapters\probability_engine_adapter.py
similarity_core_Old1\adapters\similarity_engine_adapter.py,similarity_core_clean\adapters\similarity_engine_adapter.py
similarity_core_Old1\integration\eod_data_resolution_activation_check_v17.py,similarity_core_clean\integration\eod_data_resolution_activation_check_v17.py
similarity_core_Old1\integration\eod_data_resolution_core_v17.py,similarity_core_clean\integration\eod_data_resolution_core_v17.py
similarity_core_Old1\integration\eod_data_resolution_switch_controller_v17.py,similarity_core_clean\integration\eod_data_resolution_switch_controller_v17.py
similarity_core_Old1\integration\execution_context.py,similarity_core_clean\integration\execution_context.py
similarity_core_Old1\integration\functional_gateway.py,similarity_core_clean\integration\functional_gateway.py
similarity_core_Old1\integration\hmme_historical_data_loader.py,similarity_core_clean\integration\hmme_historical_data_loader.py
similarity_core_Old1\integration\hmme_historical_replay_adapter.py,similarity_core_clean\integration\hmme_historical_replay_adapter.py
similarity_core_Old1\integration\hmme_learning_bridge.py,similarity_core_clean\integration\hmme_learning_bridge.py
similarity_core_Old1\integration\hmme_outcome_calibration.py,similarity_core_clean\integration\hmme_outcome_calibration.py
similarity_core_Old1\integration\hmme_real_replay_controller.py,similarity_core_clean\integration\hmme_real_replay_controller.py
similarity_core_Old1\integration\hmme_replay_engine.py,similarity_core_clean\integration\hmme_replay_engine.py
similarity_core_Old1\integration\hmme_runtime_executor.py,similarity_core_clean\integration\hmme_runtime_executor.py
similarity_core_Old1\integration\ntis_data_bridge.py,similarity_core_clean\integration\ntis_data_bridge.py
similarity_core_Old1\integration\production_runtime.py,similarity_core_clean\integration\production_runtime.py
similarity_core_Old1\integration\result_collector.py,similarity_core_clean\integration\result_collector.py
similarity_core_Old1\reporting\hmme_production_report.py,similarity_core_clean\reporting\hmme_production_report.py
EOD_Dashboard\app\dashboard_app - Copy (3).py,EOD_Dashboard\app\dashboard_app.py
EOD_Dashboard\app\dashboard_app - Copy (3).py,EOD_Dashboard\app\dashboard_app_original.py
app.py,EOD_Dashboard\config\__init__.py
