File,Proposed_Action,Size(Bytes)
eod_dashboard_alert_view_connector_v17.py,DATA_ADAPTER_CONNECTOR,97
eod_dashboard_card_data_provider_v17.py,REVIEW_REQUIRED,94
eod_dashboard_chart_data_provider_v17.py,REVIEW_REQUIRED,96
eod_dashboard_connector_v17.py,DATA_ADAPTER_CONNECTOR,171
eod_dashboard_data_binding_v17.py,REVIEW_REQUIRED,122
eod_dashboard_data_cache_v17.py,REVIEW_REQUIRED,94
eod_dashboard_data_provider_v17.py,REVIEW_REQUIRED,175
eod_dashboard_module_loader_v17.py,DATA_INGESTION,155
eod_dashboard_service_adapter_v17.py,"DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",129
eod_dashboard_signal_view_connector_v17.py,DATA_ADAPTER_CONNECTOR,106
eod_dashboard_table_data_provider_v17.py,REVIEW_REQUIRED,96
eod_data_availability_checker_v17.py,DATA_VALIDATION,201
eod_data_bridge_connector_v17.py,DATA_ADAPTER_CONNECTOR,97
eod_data_connection_manager_v17.py,REVIEW_REQUIRED,98
eod_data_fallback_selector_v17.py,REVIEW_REQUIRED,94
eod_data_flow_monitor_v17.py,MOVE_TO_RUNTIME_REVIEW,86
eod_data_inventory_manager_v17.py,REVIEW_REQUIRED,93
eod_data_quality_score_v17.py,DATA_VALIDATION,98
eod_data_resolution_activation_check_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",1547
eod_data_resolution_activation_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",1042
eod_data_resolution_activation_executor_v17.py,DATA_RESOLUTION,992
eod_data_resolution_alert_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",103
eod_data_resolution_audit_tracker_v17.py,DATA_RESOLUTION,96
eod_data_resolution_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",104
eod_data_resolution_compatibility_validation_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",1416
eod_data_resolution_context_v17.py,DATA_RESOLUTION,95
eod_data_resolution_core_v17.py,"KEEP_DATA_CORE,DATA_RESOLUTION",1390
eod_data_resolution_dashboard_alert_v17.py,DATA_RESOLUTION,108
eod_data_resolution_dashboard_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",111
eod_data_resolution_dashboard_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",113
eod_data_resolution_dashboard_manager_v17.py,DATA_RESOLUTION,116
eod_data_resolution_dashboard_status_v17.py,DATA_RESOLUTION,101
eod_data_resolution_date_selector_v17.py,DATA_RESOLUTION,105
eod_data_resolution_dry_run_activation_v17.py,DATA_RESOLUTION,1477
eod_data_resolution_execution_tracker_v17.py,DATA_RESOLUTION,113
eod_data_resolution_file_path_validator_v17.py,DATA_RESOLUTION,114
eod_data_resolution_final_alert_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",108
eod_data_resolution_final_alert_control_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",108
eod_data_resolution_final_audit_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",108
eod_data_resolution_final_audit_checker_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",107
eod_data_resolution_final_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",109
eod_data_resolution_final_dashboard_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",116
eod_data_resolution_final_dashboard_checker_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",115
eod_data_resolution_final_execution_control_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",118
eod_data_resolution_final_fallback_checker_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",113
eod_data_resolution_final_file_control_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",108
eod_data_resolution_final_history_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",112
eod_data_resolution_final_input_control_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",110
eod_data_resolution_final_integration_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",120
eod_data_resolution_final_integration_manager_v17.py,DATA_RESOLUTION,117
eod_data_resolution_final_integrity_checker_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",109
eod_data_resolution_final_operational_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",119
eod_data_resolution_final_operational_manager_v17.py,DATA_RESOLUTION,113
eod_data_resolution_final_output_control_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",112
eod_data_resolution_final_path_checker_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",105
eod_data_resolution_final_processing_control_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",120
eod_data_resolution_final_production_alert_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",117
eod_data_resolution_final_production_alert_v17.py,DATA_RESOLUTION,103
eod_data_resolution_final_production_audit_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",117
eod_data_resolution_final_production_audit_v17.py,DATA_RESOLUTION,103
eod_data_resolution_final_production_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",118
eod_data_resolution_final_production_control_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",127
eod_data_resolution_final_production_dashboard_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",125
eod_data_resolution_final_production_data_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",115
eod_data_resolution_final_production_governance_alert_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",127
eod_data_resolution_final_production_governance_alert_v17.py,DATA_RESOLUTION,113
eod_data_resolution_final_production_governance_audit_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",127
eod_data_resolution_final_production_governance_audit_v17.py,DATA_RESOLUTION,113
eod_data_resolution_final_production_governance_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",128
eod_data_resolution_final_production_governance_dashboard_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",135
eod_data_resolution_final_production_governance_data_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",125
eod_data_resolution_final_production_governance_history_v17.py,DATA_RESOLUTION,119
eod_data_resolution_final_production_governance_integration_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",139
eod_data_resolution_final_production_governance_integration_manager_v17.py,DATA_RESOLUTION,147
eod_data_resolution_final_production_governance_manager_v17.py,DATA_RESOLUTION,121
eod_data_resolution_final_production_governance_monitor_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",131
eod_data_resolution_final_production_governance_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",119
eod_data_resolution_final_production_governance_policy_v17.py,DATA_RESOLUTION,115
eod_data_resolution_final_production_governance_replay_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",129
eod_data_resolution_final_production_governance_runtime_alert_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",120
eod_data_resolution_final_production_governance_runtime_audit_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",120
eod_data_resolution_final_production_governance_runtime_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",131
eod_data_resolution_final_production_governance_runtime_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",135
eod_data_resolution_final_production_governance_runtime_execution_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",130
eod_data_resolution_final_production_governance_runtime_history_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",126
eod_data_resolution_final_production_governance_runtime_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",136
eod_data_resolution_final_production_governance_runtime_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",126
eod_data_resolution_final_production_governance_runtime_refresh_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",126
eod_data_resolution_final_production_governance_runtime_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",123
eod_data_resolution_final_production_governance_runtime_tracker_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",124
eod_data_resolution_final_production_governance_service_alert_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",128
eod_data_resolution_final_production_governance_service_alert_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",123
eod_data_resolution_final_production_governance_service_audit_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",128
eod_data_resolution_final_production_governance_service_audit_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",123
eod_data_resolution_final_production_governance_service_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",131
eod_data_resolution_final_production_governance_service_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",128
eod_data_resolution_final_production_governance_service_control_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",130
eod_data_resolution_final_production_governance_service_dashboard_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",132
eod_data_resolution_final_production_governance_service_data_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",127
eod_data_resolution_final_production_governance_service_execution_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",127
eod_data_resolution_final_production_governance_service_integration_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",138
eod_data_resolution_final_production_governance_service_integration_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",135
eod_data_resolution_final_production_governance_service_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",125
eod_data_resolution_final_production_governance_service_monitor_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",130
eod_data_resolution_final_production_governance_service_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",125
eod_data_resolution_final_production_governance_service_operations_alert_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",138
eod_data_resolution_final_production_governance_service_operations_alert_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",133
eod_data_resolution_final_production_governance_service_operations_audit_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",138
eod_data_resolution_final_production_governance_service_operations_audit_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",133
eod_data_resolution_final_production_governance_service_operations_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",138
eod_data_resolution_final_production_governance_service_operations_control_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",140
eod_data_resolution_final_production_governance_service_operations_dashboard_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",142
eod_data_resolution_final_production_governance_service_operations_data_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",137
eod_data_resolution_final_production_governance_service_operations_execution_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",137
eod_data_resolution_final_production_governance_service_operations_history_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",135
eod_data_resolution_final_production_governance_service_operations_integration_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",148
eod_data_resolution_final_production_governance_service_operations_integration_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",145
eod_data_resolution_final_production_governance_service_operations_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",135
eod_data_resolution_final_production_governance_service_operations_monitor_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",140
eod_data_resolution_final_production_governance_service_operations_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",135
eod_data_resolution_final_production_governance_service_operations_refresh_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",135
eod_data_resolution_final_production_governance_service_operations_replay_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",139
eod_data_resolution_final_production_governance_service_operations_runtime_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",140
eod_data_resolution_final_production_governance_service_operations_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",134
eod_data_resolution_final_production_governance_service_operations_tracker_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",135
