Symbol,CMP,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Price,Price chg,Price chg (%),OI,OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%),Price Chg (%),Total OI,Total OI Chg,Total OI Chg (%),PCR,IV,IV Chg (%),IV Range (1Yr),HV (10/20/30 Days),IVR,IVP,IV/HV10 %,IV/HV20 %,IV/HV30 %,Resistance Strike,Resistance Call OI,Resistance Call OI Chg,Resistance Distance %,Near Resistance,Support Strike,Support Put OI,Support Put OI Chg,Support Distance %,Near Support
360ONE,1116.7,4.74,34.2,3.16,-9.72,-22.26,-286.0,-2.65,0.14,18.67,-688,-11.4,233,5.15,921,1116.7,34.2,3.16,5245000.0,-143000.0,-2.65,-15.97 Cr,3338500.0,36.46,3.16,5245000,-143000,-2.65,0.89,33.95,-22.26,12.77 - 60.46,47.38 / 39.20 / 37.48,44.41,74.49,-28.35,-13.39,-9.42,1120.0,899.0,229.0,0.3,YES,,,,,
ABB,7540.0,4.33,-161.0,-2.09,-5.18,-14.17,-466.0,-2.37,-0.15,-15.15,767,4.96,-1661,-10.89,-2428,7540.0,-161.0,-2.09,2398500.0,-58250.0,-2.37,-43.92 Cr,543375.0,-85.27,-2.09,2398500,-58250,-2.37,0.84,31.37,-14.17,12.82 - 55.54,55.42 / 44.02 / 40.00,43.42,70.04,-43.4,-28.74,-21.58,,,,,,,,,,
ABCAPITAL,402.7,4.07,2.55,0.64,-2.88,-9.18,-129.0,-1.04,-0.02,-2.99,11,0.24,-69,-2.28,-80,402.7,2.55,0.64,37882000.0,-399900.0,-1.04,-16.10 Cr,4225300.0,62.65,0.64,37882000,-399900,-1.04,0.65,28.48,-9.18,17.61 - 49.88,46.33 / 42.23 / 46.39,33.68,36.03,-38.53,-32.56,-38.61,,,,,,,,,,
ADANIENSOL,1724.8,5.95,28.2,1.66,-5.89,-12.05,767.0,2.72,0.05,10.87,858,9.01,955,21.8,97,1724.8,28.2,1.66,19577700.0,517725.0,2.72,89.30 Cr,3590325.0,25.39,1.66,19577700,517725,2.72,0.51,42.98,-12.05,15.92 - 70.07,34.02 / 33.07 / 37.17,49.97,70.04,26.34,29.97,15.63,,,,,,,,,,
ADANIENT,3166.6,4.51,3.4,0.11,-1.72,-5.01,-975.0,-1.78,-0.01,-1.61,1,0,-353,-2.27,-354,3166.6,3.4,0.11,16650774.0,-301275.0,-1.78,-95.40 Cr,1420164.0,20.06,0.11,16650774,-301275,-1.78,0.61,32.58,-5.01,13.70 - 64.83,30.15 / 37.65 / 34.61,36.93,54.66,8.06,-13.47,-5.87,3200.0,6069.0,137.0,1.05,NO,3100.0,1970.0,-89.0,2.1,NO
ADANIGREEN,1517.4,7.09,-31.9,-2.06,1.26,2.52,1553.0,4.19,-0.03,-4.35,1192,10.14,507,6.26,-685,1517.4,-31.9,-2.06,23176200.0,931800.0,4.19,141.39 Cr,4243800.0,75.2,-2.06,23176200,931800,4.19,0.66,51.28,2.52,15.79 - 97.29,42.79 / 38.15 / 46.07,43.55,91.5,19.84,34.42,11.31,,,,,,1500.0,1472.0,46.0,1.15,NO
ADANIPORTS,1839.8,3.38,8.8,0.48,-1.52,-5.87,-1831.0,-4.6,0.04,6.78,-265,-1.8,283,3.23,548,1839.8,8.8,0.48,18028625.0,-869725.0,-4.6,-160.01 Cr,1979325.0,-4.43,0.48,18028625,-869725,-4.6,0.63,24.37,-5.87,12.26 - 48.61,22.44 / 26.10 / 24.73,33.31,47.77,8.6,-6.63,-1.46,,,,,,,,,,
ADANIPOWER,214.61,6.56,-2.5,-1.15,-6.07,-11.36,271.0,0.65,0.05,8.93,-1351,-6.65,146,1.27,1497,214.61,-2.5,-1.15,148961550.0,962050.0,0.65,20.65 Cr,19553400.0,-13.0,-1.15,148961550,962050,0.65,0.61,47.35,-11.36,22.32 - 78.01,40.68 / 30.82 / 36.92,44.95,47.95,16.4,53.63,28.25,220.0,4119.0,593.0,2.51,NO,,,,,
ALKEM,5565.0,3.43,-163.0,-2.85,-0.75,-2.96,-136.0,-1.09,-0.04,-10.53,923,25.83,180,13.3,-743,5565.0,-163.0,-2.85,1547250.0,-17000.0,-1.09,-9.46 Cr,150125.0,61.86,-2.85,1547250,-17000,-1.09,0.34,24.6,-2.96,13.41 - 40.78,25.36 / 22.72 / 20.25,40.88,58.7,-3,8.27,21.48,,,,,,5500.0,274.0,33.0,1.17,NO
AMBER,7792.0,5.03,-247.0,-3.07,-,-,557.0,4.65,-0.12,-12.5,1327,12.77,-124,-1.24,-1451,7792.0,-247.0,-3.07,1253000.0,55700.0,4.65,43.40 Cr,282500.0,-58.28,-3.07,1253000,55700,4.65,0.84,36.3,0,20.46 - 64.03,35.71 / 33.37 / 36.50,36.36,58.3,1.65,8.78,-0.55,8000.0,2907.0,712.0,2.67,NO,,,,,
