feature,field,direction,target,n_valid,support_n,success_n,support_success_n,baseline_rate,support_rate,lift,status
price,price_chg_pct,UP,target_50_reached,51,43,14,11,0.27450980392156865,0.2558139534883721,0.9318936877076411,RESEARCH_ONLY
price,price_chg_pct,DOWN,target_50_reached,109,95,32,29,0.29357798165137616,0.30526315789473685,1.0398026315789473,RESEARCH_ONLY
oi,,,target_50_reached,0,0,46,0,0.2875,,,UNAVAILABLE
ce_oi,ce_oi_chg,UP,target_50_reached,51,19,14,8,0.27450980392156865,0.42105263157894735,1.533834586466165,FREEZE_CANDIDATE
ce_oi,ce_oi_chg,DOWN,target_50_reached,109,47,32,9,0.29357798165137616,0.19148936170212766,0.6522606382978723,RESEARCH_ONLY
pe_oi,pe_oi_chg,UP,target_50_reached,51,39,14,13,0.27450980392156865,0.3333333333333333,1.2142857142857142,FREEZE_CANDIDATE
pe_oi,pe_oi_chg,DOWN,target_50_reached,109,49,32,15,0.29357798165137616,0.30612244897959184,1.0427295918367347,RESEARCH_ONLY
pe_ce,pe_minus_ce_oi_chg,UP,target_50_reached,50,36,14,8,0.28,0.2222222222222222,0.7936507936507935,RESEARCH_ONLY
pe_ce,pe_minus_ce_oi_chg,DOWN,target_50_reached,107,62,31,22,0.2897196261682243,0.3548387096774194,1.2247658688865766,FREEZE_CANDIDATE
volume,,,target_50_reached,0,0,46,0,0.2875,,,UNAVAILABLE
buildup,futures_buildup,UP,target_50_reached,0,0,0,0,,,,UNAVAILABLE
buildup,futures_buildup,DOWN,target_50_reached,0,0,0,0,,,,UNAVAILABLE
