event_date,observations,unique_symbols,timestamped,source_files,day_status
2026-07-22,835,218,0,6,PARTIAL_OR_UNTIMED
2026-07-23,2092,218,0,12,PARTIAL_OR_UNTIMED
2026-07-24,1635,218,0,10,PARTIAL_OR_UNTIMED
2026-07-27,1750,216,0,12,PARTIAL_OR_UNTIMED
2026-07-28,427,216,0,4,PARTIAL_OR_UNTIMED
2026-07-29,1509,216,0,9,PARTIAL_OR_UNTIMED
2026-07-30,1275,216,0,8,PARTIAL_OR_UNTIMED
2026-07-31,636,216,0,4,PARTIAL_OR_UNTIMED
2026-08-03,617,216,0,4,PARTIAL_OR_UNTIMED
2026-08-04,1025,216,0,7,PARTIAL_OR_UNTIMED
2026-08-05,1665,217,0,10,PARTIAL_OR_UNTIMED
2026-08-06,838,216,0,5,PARTIAL_OR_UNTIMED
2026-08-07,853,216,0,5,PARTIAL_OR_UNTIMED
2026-08-11,1290,216,0,7,PARTIAL_OR_UNTIMED
2026-08-12,2146,217,0,12,PARTIAL_OR_UNTIMED
2026-08-13,1953,217,0,9,PARTIAL_OR_UNTIMED
2026-08-14,2157,217,0,11,PARTIAL_OR_UNTIMED
2026-08-17,3777,217,0,24,PARTIAL_OR_UNTIMED
2026-08-18,10946,217,0,68,PARTIAL_OR_UNTIMED
2026-08-19,32680,217,454,210,OBSERVATIONS_AVAILABLE
2026-08-20,38870,217,588,244,OBSERVATIONS_AVAILABLE
2026-08-21,3202,217,0,20,PARTIAL_OR_UNTIMED
2026-08-24,33366,217,0,198,PARTIAL_OR_UNTIMED
2026-08-25,54050,217,0,338,PARTIAL_OR_UNTIMED
2026-08-26,44907,219,0,253,PARTIAL_OR_UNTIMED
2026-08-27,43838,219,0,255,PARTIAL_OR_UNTIMED
2026-08-28,36046,219,0,212,PARTIAL_OR_UNTIMED
2026-08-31,41336,219,0,252,PARTIAL_OR_UNTIMED
2026-09-01,32168,219,0,197,PARTIAL_OR_UNTIMED
2026-09-02,40142,219,0,253,PARTIAL_OR_UNTIMED
2026-09-03,41669,219,0,256,PARTIAL_OR_UNTIMED
2026-09-04,42317,219,0,254,PARTIAL_OR_UNTIMED
