symbol,outcome_source,outcome_timestamp,outcome_date
NAUKRI,breakout_events.csv,2026-08-11 14:20:00.000000000,2026-08-11
POLICYBZR,breakout_events.csv,2026-08-11 14:20:00.000000000,2026-08-11
ZYDUSLIFE,breakout_events.csv,2026-08-11 14:20:00.000000000,2026-08-11
DRREDDY,breakout_events.csv,2026-08-11 14:20:00.000000000,2026-08-11
FORTIS,breakout_events.csv,2026-08-12 10:27:31.959841000,2026-08-12
PNB,breakout_events.csv,2026-08-12 10:27:31.959841000,2026-08-12
ASTRAL,breakout_events.csv,2026-08-13 12:30:46.431034000,2026-08-13
OBEROIRLTY,breakout_events.csv,2026-08-13 12:30:46.431034000,2026-08-13
BHARTIARTL,breakout_events.csv,2026-08-14 12:03:35.760559000,2026-08-14
TIINDIA,breakout_events.csv,2026-08-18 10:11:23.148884000,2026-08-18
LTF,breakout_events.csv,2026-08-19 09:30:25.536416000,2026-08-19
COALINDIA,breakout_events.csv,2026-08-19 10:32:16.348560000,2026-08-19
GLENMARK,breakout_events.csv,2026-08-19 10:42:33.810569000,2026-08-19
POWERGRID,breakout_events.csv,2026-08-19 13:12:07.298214000,2026-08-19
UNOMINDA,breakout_events.csv,2026-08-20 09:20:09.579250000,2026-08-20
HINDALCO,breakout_events.csv,2026-08-20 09:56:11.955507000,2026-08-20
SENSEX,breakout_events.csv,2026-08-20 09:56:11.955507000,2026-08-20
MAZDOCK,breakout_events.csv,2026-08-21 09:20:10.997557000,2026-08-21
POWERGRID,breakout_events.csv,2026-08-21 09:20:10.997557000,2026-08-21
BRITANNIA,breakout_events.csv,2026-08-21 09:25:19.114465000,2026-08-21
WAAREEENER,breakout_events.csv,2026-08-21 09:25:19.114465000,2026-08-21
ABCAPITAL,breakout_events.csv,2026-08-25 09:20:09.083938000,2026-08-25
ADANIGREEN,breakout_events.csv,2026-08-25 09:20:09.083938000,2026-08-25
ASTRAL,breakout_events.csv,2026-08-25 09:20:09.083938000,2026-08-25
CIPLA,breakout_events.csv,2026-08-25 09:20:09.083938000,2026-08-25
CONCOR,breakout_events.csv,2026-08-25 09:20:09.083938000,2026-08-25
PNBHOUSING,breakout_events.csv,2026-08-25 09:20:09.083938000,2026-08-25
RVNL,breakout_events.csv,2026-08-25 09:20:09.083938000,2026-08-25
SONACOMS,breakout_events.csv,2026-08-25 09:20:09.083938000,2026-08-25
AMBER,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
BANKINDIA,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
KEI,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
MOTILALOFS,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
PAYTM,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
RBLBANK,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
SWIGGY,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
UNIONBANK,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
YESBANK,breakout_events.csv,2026-08-25 09:23:16.913097000,2026-08-25
BDL,breakout_events.csv,2026-08-25 09:26:26.088600000,2026-08-25
BHARTIARTL,breakout_events.csv,2026-08-25 09:26:26.088600000,2026-08-25
DALBHARAT,breakout_events.csv,2026-08-25 09:26:26.088600000,2026-08-25
LAURUSLABS,breakout_events.csv,2026-08-25 09:26:26.088600000,2026-08-25
SBILIFE,breakout_events.csv,2026-08-25 09:26:26.088600000,2026-08-25
BANKNIFTY,breakout_events.csv,2026-08-25 09:29:34.169320000,2026-08-25
DIVISLAB,breakout_events.csv,2026-08-25 09:29:34.169320000,2026-08-25
FINNIFTY,breakout_events.csv,2026-08-25 09:29:34.169320000,2026-08-25
HINDZINC,breakout_events.csv,2026-08-25 09:29:34.169320000,2026-08-25
INDUSTOWER,breakout_events.csv,2026-08-25 09:29:34.169320000,2026-08-25
TECHM,breakout_events.csv,2026-08-25 09:29:34.169320000,2026-08-25
AUBANK,breakout_events.csv,2026-08-25 09:32:42.522416000,2026-08-25
BEL,breakout_events.csv,2026-08-25 09:32:42.522416000,2026-08-25
HDFCAMC,breakout_events.csv,2026-08-25 09:32:42.522416000,2026-08-25
MOTHERSON,breakout_events.csv,2026-08-25 09:32:42.522416000,2026-08-25
TRENT,breakout_events.csv,2026-08-25 09:32:42.522416000,2026-08-25
IDEA,breakout_events.csv,2026-08-25 09:35:52.581951000,2026-08-25
INDIANB,breakout_events.csv,2026-08-25 09:35:52.581951000,2026-08-25
OFSS,breakout_events.csv,2026-08-25 09:35:52.581951000,2026-08-25
APOLLOHOSP,breakout_events.csv,2026-08-25 09:39:01.253485000,2026-08-25
HDFCLIFE,breakout_events.csv,2026-08-25 09:39:01.253485000,2026-08-25
ICICIPRULI,breakout_events.csv,2026-08-25 09:39:01.253485000,2026-08-25
TCS,breakout_events.csv,2026-08-25 09:39:01.253485000,2026-08-25
MAZDOCK,breakout_events.csv,2026-08-25 09:42:09.383961000,2026-08-25
ANGELONE,breakout_events.csv,2026-08-25 09:45:17.991544000,2026-08-25
LICHSGFIN,breakout_events.csv,2026-08-25 09:45:17.991544000,2026-08-25
KAYNES,breakout_events.csv,2026-08-25 09:48:25.564809000,2026-08-25
DLF,breakout_events.csv,2026-08-25 09:51:33.424951000,2026-08-25
HCLTECH,breakout_events.csv,2026-08-25 09:51:33.424951000,2026-08-25
KALYANKJIL,breakout_events.csv,2026-08-25 09:51:33.424951000,2026-08-25
WIPRO,breakout_events.csv,2026-08-25 09:51:33.424951000,2026-08-25
NATIONALUM,breakout_events.csv,2026-08-25 09:57:49.217689000,2026-08-25
RADICO,breakout_events.csv,2026-08-25 10:00:57.168795000,2026-08-25
HAVELLS,breakout_events.csv,2026-08-25 10:04:05.967236000,2026-08-25
HYUNDAI,breakout_events.csv,2026-08-25 10:07:13.893501000,2026-08-25
NHPC,breakout_events.csv,2026-08-25 10:07:13.893501000,2026-08-25
DRREDDY,breakout_events.csv,2026-08-25 10:13:30.128425000,2026-08-25
GVT&D,breakout_events.csv,2026-08-25 10:13:30.128425000,2026-08-25
PETRONET,breakout_events.csv,2026-08-25 10:13:30.128425000,2026-08-25
LUPIN,breakout_events.csv,2026-08-25 10:16:37.929842000,2026-08-25
POWERINDIA,breakout_events.csv,2026-08-25 10:16:37.929842000,2026-08-25
CDSL,breakout_events.csv,2026-08-25 10:19:46.157421000,2026-08-25
COALINDIA,breakout_events.csv,2026-08-25 10:19:46.157421000,2026-08-25
HAL,breakout_events.csv,2026-08-25 10:22:54.053590000,2026-08-25
FORTIS,breakout_events.csv,2026-08-25 10:26:01.697593000,2026-08-25
GODREJCP,breakout_events.csv,2026-08-25 10:32:17.013161000,2026-08-25
BAJAJHLDNG,breakout_events.csv,2026-08-25 10:38:31.970255000,2026-08-25
VBL,breakout_events.csv,2026-08-25 10:38:31.970255000,2026-08-25
LTF,breakout_events.csv,2026-08-25 10:44:47.280084000,2026-08-25
POWERGRID,breakout_events.csv,2026-08-25 10:44:47.280084000,2026-08-25
BAJAJ-AUTO,breakout_events.csv,2026-08-25 10:51:02.619346000,2026-08-25
