path,readable,rows,field_symbol,field_date,field_timestamp,field_open,field_high,field_low,field_close,field_price,field_straddle,field_straddle_pct,field_price_chg_pct,field_oi_chg_pct,field_pcr_chg_pct,field_ce_oi_chg_pct,field_pe_oi_chg_pct,field_pe_ce_oi_chg,field_volume_chg_pct,field_buildup
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-03\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,True,216,Symbol,,,Open,High,Low,Close,,ATM Straddle %,ATM Straddle %,Price Chg %,OI Chg %,PCR Chg %,Tot CE OI Chg %,Tot PE OI Chg %,Tot PE-CE OI Chg,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-03\IVR-IVP_25AUG26_Report_2026-08-03.xlsx,True,215,,,,,,,,,,,,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-03\Resistance_25AUG26_Scan_3_8_2026 (1).xlsx,True,103,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-03\Sector_Summary_25AUG26_Report_3_8_2026.xlsx,True,49,,,,,,,,,,,Price chg (%),OI chg (%),,,,,Volume chg (%),Buildup
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-03\Support_Resistance_25AUG26_Scan_3_8_2026.xlsx,True,82,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-03\VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx,True,216,Symbol,,,,,,,Price,,,Price chg (%),OI chg (%),,,,,Volume Chg (%),
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\FuturesOI_25AUG26_Scan_4_8_2026.xlsx,True,216,Symbol,,,,,,,Price,,,Price Chg%,OI Chg %,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\IVR-IVP_25AUG26_Report_2026-08-04 (1).xlsx,True,215,,,,,,,,,,,,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\IVR-IVP_25AUG26_Report_2026-08-04.xlsx,True,215,,,,,,,,,,,,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\Resistance_25AUG26_Scan_4_8_2026 (1).xlsx,True,110,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\Resistance_25AUG26_Scan_4_8_2026 (2).xlsx,True,115,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\Sector_Summary_25AUG26_Report_4_8_2026 (1).xlsx,True,47,,,,,,,,,,,Price chg (%),OI chg (%),,,,,Volume chg (%),Buildup
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\Sector_Summary_25AUG26_Report_4_8_2026.xlsx,True,49,,,,,,,,,,,Price chg (%),OI chg (%),,,,,Volume chg (%),Buildup
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\Support_Resistance_25AUG26_Scan_4_8_2026 (1).xlsx,True,74,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\Support_Resistance_25AUG26_Scan_4_8_2026.xlsx,True,78,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\VolumeAndOISpikesScans_25AUG26_Report_4_8_2026 (1).xlsx,True,216,Symbol,,,,,,,Price,,,Price chg (%),OI chg (%),,,,,Volume Chg (%),
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-04\VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,True,216,Symbol,,,,,,,Price,,,Price chg (%),OI chg (%),,,,,Volume Chg (%),
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-04.xlsx,True,217,Symbol,,,Open,High,Low,Close,,ATM Straddle %,ATM Straddle %,Price Chg %,OI Chg %,PCR Chg %,Tot CE OI Chg %,Tot PE OI Chg %,Tot PE-CE OI Chg,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-05 (1).xlsx,True,216,Symbol,,,Open,High,Low,Close,,ATM Straddle %,ATM Straddle %,Price Chg %,OI Chg %,PCR Chg %,Tot CE OI Chg %,Tot PE OI Chg %,Tot PE-CE OI Chg,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\FuturesOI_25AUG26_Scan_4_8_2026 (1).xlsx,True,216,Symbol,,,,,,,Price,,,Price Chg%,OI Chg %,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\FuturesOI_25AUG26_Scan_5_8_2026.xlsx,True,216,Symbol,,,,,,,Price,,,Price Chg%,OI Chg %,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\IVR-IVP_25AUG26_Report_2026-08-05 (1).xlsx,True,215,,,,,,,,,,,,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\IVR-IVP_25AUG26_Report_2026-08-05 (2).xlsx,True,215,,,,,,,,,,,,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\Resistance_25AUG26_Scan_5_8_2026 (3).xlsx,True,105,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\Resistance_25AUG26_Scan_5_8_2026 (4).xlsx,True,110,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\Sector_Summary_25AUG26_Report_5_8_2026 (1).xlsx,True,48,,,,,,,,,,,Price chg (%),OI chg (%),,,,,Volume chg (%),Buildup
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\Sector_Summary_25AUG26_Report_5_8_2026 (2).xlsx,True,48,,,,,,,,,,,Price chg (%),OI chg (%),,,,,Volume chg (%),Buildup
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\Support_Resistance_25AUG26_Scan_5_8_2026 (2).xlsx,True,77,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\Support_Resistance_25AUG26_Scan_5_8_2026 (3).xlsx,True,76,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (1).xlsx,True,216,Symbol,,,,,,,Price,,,Price chg (%),OI chg (%),,,,,Volume Chg (%),
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-05\VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,True,216,Symbol,,,,,,,Price,,,Price chg (%),OI chg (%),,,,,Volume Chg (%),
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-06\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-06.xlsx,True,216,Symbol,,,Open,High,Low,Close,,ATM Straddle %,ATM Straddle %,Price Chg %,OI Chg %,PCR Chg %,Tot CE OI Chg %,Tot PE OI Chg %,Tot PE-CE OI Chg,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-06\FuturesOI_25AUG26_Scan_6_8_2026.xlsx,True,216,Symbol,,,,,,,Price,,,Price Chg%,OI Chg %,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-06\IVR-IVP_25AUG26_Report_2026-08-06.xlsx,True,215,,,,,,,,,,,,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-06\Resistance_25AUG26_Scan_6_8_2026.xlsx,True,79,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-06\Sector_Summary_25AUG26_Report_6_8_2026.xlsx,True,47,,,,,,,,,,,Price chg (%),OI chg (%),,,,,Volume chg (%),Buildup
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-06\Support_Resistance_25AUG26_Scan_6_8_2026 (1).xlsx,True,111,Symbol,,,,,,,Price,,,Price Chg%,,,,,,,
D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-06\VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,True,216,Symbol,,,,,,,Price,,,Price chg (%),OI chg (%),,,,,Volume Chg (%),
