feature,candidate_1,candidate_2,same
all_bad_n,118,118,True
all_dates,14,14,True
all_good_n,129,129,True
all_n,247,247,True
all_rate,0.5222672064777328,0.5222672064777328,True
all_symbols,74,74,True
factor_count,3,3,True
factors,orb_agree|magnitude_count_band|px_all_negative_pre_maturity,orb_price_agree|magnitude_count_band|px_all_negative_pre_maturity,False
frozen_final_gate_pass,False,False,True
holdout_bad_n,36,36,True
holdout_good_n,93,93,True
kind,V8_PLUS_TRAJECTORY,V8_PLUS_TRAJECTORY,True
states,NO|0|True,NO|0|True,True
status,HOLDOUT_RESEARCH,HOLDOUT_RESEARCH,True
top_holdout_date_share,0.7286821705426356,0.7286821705426356,True
top_holdout_symbol_share,0.0465116279069767,0.0465116279069767,True
train_bad_n,82,82,True
train_good_n,36,36,True
