symbol,source_timestamp,file,High,Low,Close,Price Chg,Price Chg %
RELIANCE,2026-09-18 09:18:09,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_091809.xlsx,1250.6,1247.0,1250.2,2.8,0.22
HDFCBANK,2026-09-18 09:18:09,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_091809.xlsx,720.25,716.7,719.0,3.45,0.48
INFY,2026-09-18 09:18:09,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_091809.xlsx,1065.2,1041.4,1044.4,-21.2,-1.99
TCS,2026-09-18 09:18:09,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_091809.xlsx,2178.9,2111.2,2124.9,-66.6,-3.04
RELIANCE,2026-09-18 09:23:20,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_092320.xlsx,1250.6,1247.0,1248.7,1.3,0.1
HDFCBANK,2026-09-18 09:23:20,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_092320.xlsx,720.25,716.7,717.8,2.25,0.31
INFY,2026-09-18 09:23:20,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_092320.xlsx,1065.2,1041.4,1048.0,-17.6,-1.65
TCS,2026-09-18 09:23:20,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_092320.xlsx,2178.9,2111.2,2125.1,-66.4,-3.03
RELIANCE,2026-09-18 09:28:29,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_092829.xlsx,1250.6,1247.0,1248.4,1.0,0.08
HDFCBANK,2026-09-18 09:28:29,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_092829.xlsx,720.25,716.7,718.35,2.8,0.39
INFY,2026-09-18 09:28:29,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_092829.xlsx,1065.2,1041.4,1049.1,-16.5,-1.55
TCS,2026-09-18 09:28:29,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_092829.xlsx,2178.9,2111.2,2127.2,-64.3,-2.93
RELIANCE,2026-09-18 09:33:41,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_093341.xlsx,1250.6,1246.4,1247.0,-0.4,-0.03
HDFCBANK,2026-09-18 09:33:41,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_093341.xlsx,720.25,716.7,718.9,3.35,0.47
INFY,2026-09-18 09:33:41,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_093341.xlsx,1065.2,1041.4,1049.0,-16.6,-1.56
TCS,2026-09-18 09:33:41,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_093341.xlsx,2178.9,2111.2,2129.4,-62.1,-2.83
RELIANCE,2026-09-18 09:39:57,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_093957.xlsx,1250.6,1244.5,1245.0,-2.4,-0.19
HDFCBANK,2026-09-18 09:39:57,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_093957.xlsx,720.85,716.7,720.85,5.3,0.74
INFY,2026-09-18 09:39:57,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_093957.xlsx,1065.2,1041.4,1047.6,-18.0,-1.69
TCS,2026-09-18 09:39:57,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_093957.xlsx,2178.9,2111.2,2135.5,-56.0,-2.56
RELIANCE,2026-09-18 09:45:07,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_094507.xlsx,1250.6,1244.5,1245.5,-1.9,-0.15
HDFCBANK,2026-09-18 09:45:07,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_094507.xlsx,722.8,716.7,720.35,4.8,0.67
INFY,2026-09-18 09:45:07,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_094507.xlsx,1065.2,1041.4,1045.0,-20.6,-1.93
TCS,2026-09-18 09:45:07,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_094507.xlsx,2178.9,2111.2,2135.3,-56.2,-2.56
