feature,n_valid,success_n,failure_n,success_mean,failure_mean,mean_difference,standardized_difference,abs_standardized_difference
price_chg,61,4,57,2.0749999999999997,0.33859649122807023,1.7364035087719296,0.6533665655746419,0.6533665655746419
price_chg_pct,61,4,57,2.0749999999999997,0.33859649122807023,1.7364035087719296,0.6533665655746419,0.6533665655746419
iv_chg,59,4,55,5.365,1.7956363636363637,3.5693636363636365,0.4323989361278665,0.4323989361278665
iv_chg_pct,59,4,55,5.365,1.7956363636363637,3.5693636363636365,0.4323989361278665,0.4323989361278665
atm_straddle_price,61,4,57,47.3025,240.53017543859647,-193.22767543859646,-0.37632103614999945,0.37632103614999945
pe_oi_chg,61,4,57,0.655,2.6571929824561398,-2.0021929824561395,-0.23100076543404308,0.23100076543404308
pe_oi_chg_pct,61,4,57,0.655,2.6571929824561398,-2.0021929824561395,-0.23100076543404308,0.23100076543404308
ce_oi_chg,61,4,57,0.8800000000000001,2.8592982456140343,-1.9792982456140342,-0.1881471067287001,0.1881471067287001
ce_oi_chg_pct,61,4,57,0.8800000000000001,2.8592982456140343,-1.9792982456140342,-0.1881471067287001,0.1881471067287001
pe_minus_ce_oi_chg,59,4,55,-24.5,64.74545454545455,-89.24545454545455,-0.06990540356004046,0.06990540356004046
oi_chg,61,4,57,0.3125,0.4005263157894737,-0.08802631578947367,-0.06050394450482396,0.06050394450482396
oi_chg_pct,61,4,57,0.3125,0.4005263157894737,-0.08802631578947367,-0.06050394450482396,0.06050394450482396
atm_straddle_pct,61,4,57,4.3325,4.2745614035087725,0.05793859649122712,0.03881177827442952,0.03881177827442952
pcr_chg_pct,61,4,57,0.007499999999999951,0.18561403508771915,-0.1781140350877192,-0.02190258229727927,0.02190258229727927
pcr_chg,61,4,57,0.007499999999999951,0.18561403508771915,-0.1781140350877192,-0.02190258229727927,0.02190258229727927
