trading_date,observation_timestamp,symbol,direction,open_price,current_price,opening_straddle_premium,approaching_level,breakout_level,distance_to_breakout,approach_progress_pct,matched_source_timestamp,matched_source_file,snapshot_lag_seconds,feature_atm_straddle_price,feature_atm_straddle_pct,feature_price_chg,feature_price_chg_pct,feature_iv_chg,feature_iv_chg_pct,feature_oi_chg,feature_oi_chg_pct,feature_pcr_chg,feature_pcr_chg_pct,feature_ce_oi_chg,feature_ce_oi_chg_pct,feature_pe_oi_chg,feature_pe_oi_chg_pct,feature_pe_minus_ce_oi_chg,feature_futures_oi,feature_futures_oi_chg,feature_futures_oi_chg_pct,feature_futures_buildup,feature_ivr,feature_ivp,feature_iv_hv10,feature_iv_hv20,feature_iv_hv30,feature_volume,feature_volume_chg_pct,outcome,first_later_100_timestamp,minutes_50_to_100
2026-08-12,2026-08-12 10:27:31.959841,ADANIENSOL,DOWN,1635.0,1580.1,82.24050000000001,1593.87975,1552.7595,27.34050000000002,66.75543071844174,2026-08-12 10:27:31.959841,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (3).xlsx,0.0,85.8,5.42,-2.87,-2.87,7.07,7.07,0.29,0.29,0.0,0.0,5.76,5.76,4.92,4.92,-269,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 10:44:17.556980,ADANIGREEN,DOWN,1373.9,1334.0,75.97667000000001,1335.911665,1297.92333,36.07666999999992,52.51612106716455,2026-08-12 10:44:17.556980,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (4).xlsx,0.0,73.85,5.53,-2.23,-2.23,1.23,1.23,-0.03,-0.03,-2.13,-2.13,5.18,5.18,2.62,2.62,-699,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 10:27:31.959841,BANKBARODA,UP,246.01,252.04,10.012607,251.0163035,256.022607,3.9826070000000016,60.22407550800706,2026-08-12 10:27:31.959841,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (3).xlsx,0.0,10.47,4.15,1.92,1.92,3.35,3.35,0.04,0.04,-2.35,-2.35,-0.43,-0.43,-2.45,-2.45,-270,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 10:27:31.959841,BANKINDIA,UP,141.85,145.88,7.0925,145.39624999999998,148.9425,3.0625,56.8205851251322,2026-08-12 10:27:31.959841,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (3).xlsx,0.0,7.19,4.93,2.7,2.7,12.99,12.99,-1.43,-1.43,-6.74,-6.74,6.37,6.37,0.24,0.24,-409,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 09:34:47.029140,BOSCHLTD,UP,45320.0,46385.0,2016.74,46328.37,47336.74,951.739999999998,52.80799706456956,2026-08-12 09:34:47.029140,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,0.0,2011.9,4.34,2.36,2.36,0.49,0.49,1.31,1.31,13.39,13.39,-0.94,-0.94,12.09,12.09,2274,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 10:27:31.959841,CANBK,UP,129.75,132.9,5.721975,132.6109875,135.471975,2.5719749999999806,55.050922102945336,2026-08-12 10:27:31.959841,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (3).xlsx,0.0,6.18,4.65,2.27,2.27,7.72,7.72,0.12,0.12,1.37,1.37,1.81,1.81,3.16,3.16,63,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 09:34:47.029140,FORTIS,DOWN,944.85,913.8,37.794,925.953,907.056,6.7439999999999145,82.15589776154962,2026-08-12 09:34:47.029140,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,0.0,39.2,4.28,-2.62,-2.62,14.58,14.58,0.62,0.62,-4.05,-4.05,3.87,3.87,0.49,0.49,-232,,,,,,,,,,,,continued_to_100_after_50,2026-08-12 10:27:31.959841,52.74884501666667
2026-08-12,2026-08-12 09:34:47.029140,HINDALCO,UP,1064.9,1088.0,44.619310000000006,1087.209655,1109.51931,21.51931000000013,51.77130708655044,2026-08-12 09:34:47.029140,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,0.0,46.4,4.26,3.06,3.06,9.37,9.37,0.33,0.33,7.02,7.02,0.0,0.0,7.75,7.75,1175,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 10:27:31.959841,IDEA,UP,12.95,13.54,0.806785,13.3533925,13.756785,0.2167849999999997,73.12976815384519,2026-08-12 10:27:31.959841,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (3).xlsx,0.0,0.92,6.79,5.12,5.12,-3.92,-3.92,-1.46,-1.46,5.77,5.77,0.27,0.27,7.53,7.53,678,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 10:27:31.959841,INDIANB,UP,873.5,895.4,38.7834,892.8917,912.2834,16.88340000000005,56.46745772675933,2026-08-12 10:27:31.959841,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (3).xlsx,0.0,42.7,4.76,1.97,1.97,10.58,10.58,1.17,1.17,-8.14,-8.14,8.29,8.29,-0.55,-0.55,-627,,,,,,,,,,,,unresolved_no_later_100,,
