trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,upside_breakout,downside_breakout,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-11,2026-08-11T09:52:00,360ONE,1168.8,1171.6,1163.4,1169.8,5.11,1169.8,59.725680000000004,1228.52568,1109.07432,False,False,False,NONE,0.19,-1.66,0.54,1.69
2026-08-11,2026-08-11T09:52:00,ABB,7671.0,7724.0,7591.5,7612.5,4.86,7612.5,372.8106,8043.8106,7298.1894,False,False,False,NONE,-0.89,2.3,0.15,-3.45
2026-08-11,2026-08-11T09:52:00,ABCAPITAL,410.9,410.9,404.8,405.8,4.64,405.8,19.065759999999997,429.96576,391.83423999999997,False,False,False,NONE,-1.34,-1.48,0.27,-1.59
2026-08-11,2026-08-11T09:52:00,ADANIENSOL,1666.0,1677.2,1640.0,1643.3,5.45,1643.3,90.79700000000001,1756.797,1575.203,False,False,False,NONE,0.51,9.89,0.78,-14.29
2026-08-11,2026-08-11T09:52:00,ADANIENT,3074.0,3075.0,3009.1,3015.1,5.19,3015.1,159.5406,3233.5406,2914.4594,False,False,False,NONE,-0.22,8.69,1.5,-17.57
2026-08-11,2026-08-11T09:52:00,ADANIGREEN,1411.9,1414.8,1365.1,1370.3,5.95,1370.3,84.00805,1495.90805,1327.8919500000002,False,False,False,NONE,-0.19,12.03,2.28,-16.07
2026-08-11,2026-08-11T09:52:00,ADANIPORTS,1701.0,1709.9,1685.1,1688.6,4.09,1688.6,69.5709,1770.5709,1631.4291,False,False,False,NONE,0.13,4.16,0.67,-5.17
2026-08-11,2026-08-11T09:52:00,ADANIPOWER,214.0,214.7,210.2,210.47,5.77,210.47,12.3478,226.3478,201.6522,False,False,False,NONE,-0.68,8.97,1.15,-8.93
2026-08-11,2026-08-11T09:52:00,ALKEM,5578.5,5578.5,5525.5,5531.0,4.46,5531.0,248.80110000000002,5827.3011,5329.6989,False,False,False,NONE,-0.17,-7.69,-0.08,3.23
2026-08-11,2026-08-11T09:52:00,AMBER,7090.0,7154.5,7026.0,7126.5,6.74,7126.5,477.866,7567.866,6612.134,False,False,False,NONE,1.1,1.09,-0.92,3.33
2026-08-11,2026-08-11T09:52:00,AMBUJACEM,436.0,436.05,428.6,429.75,4.06,429.75,17.7016,453.7016,418.2984,False,False,False,NONE,-0.72,-0.94,0.22,-1.61
2026-08-11,2026-08-11T09:52:00,ANGELONE,295.85,297.85,293.8,294.5,5.8,294.5,17.1593,313.00930000000005,278.6907,False,False,False,NONE,-0.1,0.03,0.95,2.08
2026-08-11,2026-08-11T09:52:00,APLAPOLLO,2018.4,2023.0,1999.6,2022.5,4.02,2022.5,81.13968,2099.53968,1937.26032,False,False,False,NONE,0.44,-0.94,1.18,-1.23
2026-08-11,2026-08-11T09:52:00,APOLLOHOSP,8980.0,8985.0,8690.5,8736.0,4.83,8736.0,433.73400000000004,9413.734,8546.266,False,False,False,NONE,-2.29,10.77,0.67,0.0
2026-08-11,2026-08-11T09:52:00,ASHOKLEY,173.61,175.16,172.5,174.9,6.16,174.9,10.694376000000002,184.30437600000002,162.915624,False,False,False,NONE,-0.01,6.5,0.35,-4.55
2026-08-11,2026-08-11T09:52:00,ASIANPAINT,2751.0,2754.5,2735.3,2737.7,3.52,2737.7,96.8352,2847.8352,2654.1648,False,False,False,NONE,-0.86,2.61,0.01,2.99
