trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-27,2026-08-27T09:20:10.246693,360ONE,1206.6,1213.7,1206.6,1213.7,6.3,1213.7,76.01579999999998,1282.6157999999998,1130.5842,False,NONE,0.33,-0.12,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,ABB,7622.5,7730.0,7622.5,7695.0,5.85,7695.0,445.91625,8068.41625,7176.58375,False,NONE,0.78,1.08,-0.08,1.18
2026-08-27,2026-08-27T09:20:10.246693,ABCAPITAL,413.3,415.0,413.2,414.35,5.66,414.35,23.392780000000002,436.69278,389.90722,False,NONE,0.21,5.31,-0.01,0.86
2026-08-27,2026-08-27T09:20:10.246693,ADANIENSOL,1598.3,1608.9,1589.5,1605.5,6.96,1605.5,111.24168,1709.54168,1487.0583199999999,False,NONE,1.11,3.69,0.24,-5.17
2026-08-27,2026-08-27T09:20:10.246693,ADANIENT,3137.1,3173.9,3137.1,3157.9,5.41,3157.9,169.71711,3306.81711,2967.38289,False,NONE,0.35,2.13,0.05,0
2026-08-27,2026-08-27T09:20:10.246693,ADANIGREEN,1323.0,1323.0,1314.4,1319.0,6.88,1319.0,91.0224,1414.0224,1231.9776,False,NONE,0.14,-0.45,0.04,-1.32
2026-08-27,2026-08-27T09:20:10.246693,ADANIPORTS,1706.2,1719.0,1706.2,1710.8,4.62,1710.8,78.82644,1785.02644,1627.37356,False,NONE,0.01,1.67,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,ADANIPOWER,211.24,211.25,208.28,209.31,6.93,209.31,14.638932,225.87893200000002,196.601068,False,NONE,-0.13,6.16,0.2,-1.59
2026-08-27,2026-08-27T09:20:10.246693,ALKEM,5347.5,5387.5,5341.0,5387.5,4.71,5387.5,251.86724999999998,5599.36725,5095.63275,False,NONE,0.2,5.65,0.06,0
2026-08-27,2026-08-27T09:20:10.246693,AMBER,7525.0,7565.0,7525.0,7561.5,6.2,7561.5,466.55,7991.55,7058.45,False,NONE,0.6,2.03,0.01,1.16
2026-08-27,2026-08-27T09:20:10.246693,AMBUJACEM,424.05,425.75,423.0,423.35,4.51,423.35,19.124655,443.17465500000003,404.925345,False,NONE,-0.22,1.5,0.0,0
2026-08-27,2026-08-27T09:20:10.246693,ANGELONE,296.3,297.65,294.55,297.1,7.53,297.1,22.311390000000003,318.61139000000003,273.98861,False,NONE,-0.12,2.66,0.1,-1.39
2026-08-27,2026-08-27T09:20:10.246693,APLAPOLLO,2168.8,2190.6,2167.3,2183.7,6.1,2183.7,132.2968,2301.0968000000003,2036.5032,False,NONE,0.71,-0.59,0.64,-1.43
2026-08-27,2026-08-27T09:20:10.246693,APOLLOHOSP,8836.0,8909.5,8836.0,8890.0,3.82,8890.0,337.5352,9173.5352,8498.4648,False,NONE,0.3,0.76,0.06,0
2026-08-27,2026-08-27T09:20:10.246693,ASHOKLEY,181.5,182.0,179.62,180.19,6.09,180.19,11.05335,192.55335,170.44665,False,NONE,-0.27,2.18,1.02,-5.38
2026-08-27,2026-08-27T09:20:10.246693,ASIANPAINT,2655.0,2655.0,2646.3,2654.0,4.4,2654.0,116.82000000000002,2771.82,2538.18,False,NONE,0.0,1.84,0.04,-1.41
2026-08-27,2026-08-27T09:20:10.246693,ASTRAL,1515.0,1517.0,1506.1,1514.2,5.42,1514.2,82.113,1597.113,1432.887,False,NONE,-0.01,5.43,0.06,0
2026-08-27,2026-08-27T09:20:10.246693,ATHERENERG,1500.1,1521.5,1500.0,1511.8,8.26,1511.8,123.90825999999998,1624.0082599999998,1376.19174,False,NONE,0.8,3.96,8.98,-1.89
2026-08-27,2026-08-27T09:20:10.246693,AUBANK,1123.4,1130.4,1123.4,1129.2,5.11,1129.2,57.40574000000001,1180.80574,1065.9942600000002,False,NONE,0.5,0.81,0.02,-1.12
2026-08-27,2026-08-27T09:20:10.246693,AUROPHARMA,1636.7,1636.7,1628.0,1630.0,4.97,1630.0,81.34398999999999,1718.0439900000001,1555.35601,False,NONE,-0.23,7.7,0.03,0
2026-08-27,2026-08-27T09:20:10.246693,AXISBANK,1264.1,1264.1,1258.0,1258.3,3.76,1258.3,47.530159999999995,1311.63016,1216.5698399999999,False,NONE,-0.21,0.58,0.01,0
2026-08-27,2026-08-27T09:20:10.246693,BAJAJ-AUTO,11838.0,11899.0,11823.0,11835.0,4.23,11835.0,500.7474,12338.7474,11337.2526,False,NONE,-0.27,1.15,-0.03,-2.44
2026-08-27,2026-08-27T09:20:10.246693,BAJAJFINSV,2023.9,2039.2,2010.0,2036.0,4.1,2036.0,82.9799,2106.8799,1940.9201,False,NONE,0.55,0.18,0.03,0
2026-08-27,2026-08-27T09:20:10.246693,BAJAJHLDNG,11466.0,11480.0,11440.0,11440.0,5.67,11440.0,650.1222,12116.1222,10815.8778,False,NONE,-0.17,8.46,0.06,-4
2026-08-27,2026-08-27T09:20:10.246693,BAJFINANCE,1098.7,1115.4,1098.6,1112.9,4.72,1112.9,51.858639999999994,1150.55864,1046.8413600000001,False,NONE,1.67,3.21,0.37,5.88
2026-08-27,2026-08-27T09:20:10.246693,BANDHANBNK,173.03,174.31,173.03,173.9,6.55,173.9,11.333464999999999,184.363465,161.696535,False,NONE,-0.34,0.37,0.05,0
2026-08-27,2026-08-27T09:20:10.246693,BANKBARODA,245.16,245.65,244.67,244.9,4.78,244.9,11.718648,256.878648,233.441352,False,NONE,-0.09,0.81,0.01,0
2026-08-27,2026-08-27T09:20:10.246693,BANKEX,65665.85,65738.8,65665.85,65738.8,0.46,65738.8,302.06291000000004,65967.91291,65363.787090000005,False,NONE,0.0,69.58,0.0,0
2026-08-27,2026-08-27T09:20:10.246693,BANKINDIA,146.51,146.68,146.2,146.57,5.42,146.57,7.940841999999999,154.450842,138.569158,False,NONE,0.08,4.81,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,BANKNIFTY,58220.0,58298.0,58066.0,58160.0,2.51,58160.0,1461.322,59681.322,56758.678,False,NONE,-0.11,1.07,0.08,0
2026-08-27,2026-08-27T09:20:10.246693,BDL,1343.3,1358.8,1343.3,1351.6,7.01,1351.6,94.16533,1437.46533,1249.13467,False,NONE,-0.38,0.55,0.1,0
2026-08-27,2026-08-27T09:20:10.246693,BEL,412.9,413.2,410.8,412.2,4.71,412.2,19.447589999999998,432.34758999999997,393.45241,False,NONE,0.22,2.31,0.3,-3.41
